"artifactName","artifactPackages","artifactTypes","numberOfExternalPackages","numberOfPackages","numberOfTypes","typesCallingExternalRate","packagesCallingExternalRate","someExternalPackageNames","someExternalCallingPackageNames","someExternalCallingTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_distribution.cypher"
"axon-messaging-5.0.1",57,570,7,18,45,7.894736842105263,31.57894736842105,"org.slf4j,com.fasterxml.jackson.annotation,jakarta.persistence,reactor.core.publisher,org.reactivestreams,reactor.util.concurrent,jakarta.validation","org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.distributed,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.processing.streaming.token,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.eventhandling.processing.streaming.segmenting","org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBus,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBus$DistributedHandler,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore",""
"axon-common-5.0.1",13,150,10,7,16,10.666666666666666,53.84615384615385,"org.slf4j,org.ehcache.event,org.ehcache.core,org.ehcache.config,javax.cache,javax.cache.configuration,javax.cache.event,com.fasterxml.jackson.databind,com.fasterxml.jackson.databind.node","org.axonframework.common,org.axonframework.common.property,org.axonframework.common.caching,org.axonframework.common.infra,org.axonframework.common.lifecycle,org.axonframework.common.jpa,org.axonframework.common.configuration","org.axonframework.common.IdentifierFactory,org.axonframework.common.TypeReflectionUtils$VarMap,org.axonframework.common.TypeReflectionUtils,org.axonframework.common.property.AbstractMethodPropertyAccessStrategy,org.axonframework.common.caching.EhCacheAdapter$1,org.axonframework.common.caching.EhCacheAdapter,org.axonframework.common.caching.JCacheAdapter,org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.common.caching.JCacheAdapter$JCacheListenerAdapter",""
"axon-spring-boot-autoconfigure-5.0.1",7,70,31,7,31,44.285714285714285,100,"org.axonframework.extension.spring.config,org.springframework.boot.docker.compose.service.connection,org.springframework.boot.docker.compose.core,org.slf4j,org.springframework.boot.autoconfigure.service.connection,org.springframework.boot.testcontainers.service.connection,org.springframework.boot.actuate.health,org.springframework.context,com.fasterxml.jackson.dataformat.cbor.databind","org.axonframework.extension.springboot,org.axonframework.extension.springboot.service.connection,org.axonframework.extension.springboot.actuator,org.axonframework.extension.springboot.actuator.axonserver,org.axonframework.extension.springboot.autoconfig,org.axonframework.extension.springboot.util,org.axonframework.extension.springboot.util.jpa","org.axonframework.extension.springboot.EventProcessorProperties$ProcessorSettings,org.axonframework.extension.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory,org.axonframework.extension.springboot.service.connection.AxonServerTestContainerConnectionDetailsFactory$AxonServerContainerConnectionDetails,org.axonframework.extension.springboot.service.connection.AxonServerTestContainerConnectionDetailsFactory,org.axonframework.extension.springboot.service.connection.AxonServerConnectionDetails,org.axonframework.extension.springboot.actuator.HealthStatus,org.axonframework.extension.springboot.actuator.axonserver.AxonServerHealthIndicator,org.axonframework.extension.springboot.actuator.axonserver.AxonServerStatusAggregator,org.axonframework.extension.springboot.autoconfig.InfrastructureAutoConfiguration",""
"axon-server-connector-5.0.1",5,72,20,5,51,70.83333333333333,100,"io.axoniq.axonserver.grpc,io.grpc.stub,io.axoniq.axonserver.grpc.control,io.grpc,io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.control,io.axoniq.axonserver.connector.impl,io.grpc.netty.shaded.io.grpc.netty,io.grpc.netty.shaded.io.netty.handler.ssl","org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.util,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.event,org.axonframework.axonserver.connector.command","org.axonframework.axonserver.connector.InstructionAckSource,org.axonframework.axonserver.connector.MetadataConverter$1,org.axonframework.axonserver.connector.AxonServerException,org.axonframework.axonserver.connector.TopologyChange$1,org.axonframework.axonserver.connector.ErrorCode$ExceptionBuilder,org.axonframework.axonserver.connector.TopologyChange,org.axonframework.axonserver.connector.ManagedChannelCustomizer,org.axonframework.axonserver.connector.AxonServerConfigurationEnhancer,org.axonframework.axonserver.connector.DefaultInstructionAckSource",""
"axon-eventsourcing-5.0.1",7,100,5,4,9,9,57.142857142857146,"WrappedEventCriteriaBuilderMethod,ScannedEntityCreator,IdTypeParameterResolver,org.slf4j,jakarta.persistence","org.axonframework.eventsourcing.annotation,org.axonframework.eventsourcing.annotation.reflection,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver,org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$1,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry,org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator",""
"axon-test-5.0.1",5,73,9,4,24,32.87671232876712,80,"org.hamcrest,org.awaitility,org.awaitility.core,com.google.gson,org.junit.jupiter.api,org.testcontainers.containers,org.testcontainers.utility,org.testcontainers.containers.wait.strategy,org.slf4j","org.axonframework.test.fixture,org.axonframework.test.util,org.axonframework.test.server,org.axonframework.test.matchers","org.axonframework.test.fixture.AxonTestThenEvent,org.axonframework.test.fixture.Reporter,org.axonframework.test.fixture.CommandValidator,org.axonframework.test.fixture.AxonTestThenCommand,org.axonframework.test.fixture.AxonTestThenMessage,org.axonframework.test.util.DescriptionUtils,org.axonframework.test.server.AxonServerContainerUtils,org.axonframework.test.server.AxonServerContainer,org.axonframework.test.matchers.PayloadMatcher",""
"axon-conversion-5.0.1",4,30,10,3,15,50,75,"org.slf4j,org.apache.avro.generic,org.apache.avro.message,org.apache.avro.io,org.apache.avro,org.apache.commons.lang3.tuple,org.apache.avro.specific,com.fasterxml.jackson.databind.node,com.fasterxml.jackson.databind","org.axonframework.conversion,org.axonframework.conversion.avro,org.axonframework.conversion.json","org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.avro.AvroConverterStrategy,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter,org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker,org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter,org.axonframework.conversion.avro.AvroConverterConfiguration,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.avro.SchemaIncompatibilityChecker",""
"axon-modelling-5.0.1",7,93,1,3,3,3.225806451612903,42.85714285714286,"org.slf4j","org.axonframework.modelling,org.axonframework.modelling.entity.annotation,org.axonframework.modelling.repository","org.axonframework.modelling.SimpleEntityEvolvingComponent,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel,org.axonframework.modelling.repository.AccessSerializingRepository",""
"axon-update-5.0.1",5,23,1,3,7,30.43478260869565,60,"org.slf4j","org.axonframework.update,org.axonframework.update.detection,org.axonframework.update.configuration","org.axonframework.update.UpdateChecker,org.axonframework.update.LoggingUpdateCheckerReporter,org.axonframework.update.UpdateCheckerHttpClient,org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.update.detection.AxonVersionDetector,org.axonframework.update.detection.MachineId,org.axonframework.update.configuration.PropertyFileUsagePropertyProvider",""
"axon-metrics-micrometer-5.0.1",2,13,3,2,12,92.3076923076923,100,"io.micrometer.core.instrument,org.slf4j,io.micrometer.core.instrument.simple","org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.reservoir","org.axonframework.extension.metrics.micrometer.GlobalMetricRegistry,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor$Builder,org.axonframework.extension.metrics.micrometer.CapacityMonitor$1,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor",""
