"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Set_Outgoing_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.autoconfig","autoconfig",121,437,79,0,33,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.configuration","configuration",117,334,39,7,17,1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot","springboot",111,413,68,0,30,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration","configuration",100,594,77,0,27,2,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.configuration","configuration",95,297,53,5,24,3,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","jpa",83,267,53,0,17,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring","monitoring",81,231,26,2,8,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",76,253,43,2,13,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation","annotation",70,169,38,1,13,1,""
"axon-common-5.0.2","org.axonframework.common.configuration","configuration",69,117,8,37,4,0,""
"axon-modelling-5.0.2","org.axonframework.modelling.configuration","configuration",64,162,29,6,9,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",63,349,22,8,9,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception","interception",63,184,19,0,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed","distributed",61,155,28,2,9,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","query",60,189,32,0,10,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation","annotation",53,110,36,1,12,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation","annotation",52,150,25,0,14,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.interception","interception",50,155,15,0,6,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",48,143,19,5,8,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",48,340,18,0,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.interception","interception",47,113,18,0,5,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.annotation","annotation",47,96,32,0,13,2,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",46,124,23,0,7,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation","annotation",46,123,23,0,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.configuration","configuration",46,147,19,0,8,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.child","child",46,100,17,7,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed","distributed",45,103,23,2,9,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming","eventstreaming",45,107,10,14,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation","annotation",40,96,30,1,10,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay","replay",38,80,21,0,8,2,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer","micrometer",37,137,18,0,8,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration","configuration",37,111,19,3,7,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.configuration","configuration",37,111,19,3,7,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway","gateway",34,125,16,2,7,2,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command","command",32,99,26,0,10,2,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection","reflection",32,114,18,0,10,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay.annotation","annotation",30,49,15,0,7,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.retry","retry",28,56,10,1,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","tracing",28,66,9,6,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.interception","interception",27,62,12,0,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing","tracing",26,78,12,0,5,1,""
"axon-update-5.0.2","org.axonframework.update","update",26,46,7,2,3,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.sequencing","sequencing",25,34,10,0,7,1,""
"axon-test-5.0.2","org.axonframework.test.util","util",25,67,16,1,7,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.repository","repository",24,82,7,5,4,1,""
"axon-conversion-5.0.2","org.axonframework.conversion","conversion",23,32,6,12,3,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.tracing","tracing",23,64,13,0,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.timeout","timeout",23,51,17,0,7,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",23,193,18,0,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway","gateway",22,59,12,1,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",20,123,15,0,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway","gateway",18,90,16,0,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing","tracing",18,72,6,0,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.correlation","correlation",16,27,9,1,3,1,""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","avro",14,66,8,1,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.retry","retry",14,41,14,0,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing.attributes","attributes",14,19,4,0,2,0,""
"axon-conversion-5.0.2","org.axonframework.conversion.json","json",12,35,6,0,3,1,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry","opentelemetry",12,45,8,0,3,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration.reflection","reflection",12,30,9,0,3,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.reflection","reflection",11,20,7,0,3,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",11,59,9,0,5,1,""
"axon-test-5.0.2","org.axonframework.test.matchers","matchers",11,21,7,0,5,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.conversion","conversion",10,28,4,3,4,2,""
"axon-common-5.0.2","org.axonframework.common.caching","caching",8,14,3,0,1,0,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",8,15,7,0,7,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.conversion","conversion",8,24,6,1,5,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",8,17,6,0,4,0,""
"axon-conversion-5.0.2","org.axonframework.conversion.converter","converter",7,9,2,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",7,13,6,0,3,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util","util",6,18,5,1,3,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.annotation","annotation",6,10,4,0,3,1,""
"axon-update-5.0.2","org.axonframework.update.api","api",6,6,1,1,1,0,""
"axon-update-5.0.2","org.axonframework.update.configuration","configuration",6,6,1,1,1,0,""
"axon-common-5.0.2","org.axonframework.common.infra","infra",5,13,3,0,2,0,""
"axon-common-5.0.2","org.axonframework.common.jdbc","jdbc",5,7,4,0,4,0,""
"axon-common-5.0.2","org.axonframework.common.jpa","jpa",5,6,4,0,4,0,""
"axon-update-5.0.2","org.axonframework.update.detection","detection",5,12,2,0,2,1,""
"axon-common-5.0.2","org.axonframework.common.lock","lock",3,7,2,0,1,0,""
"axon-common-5.0.2","org.axonframework.common.tx","tx",3,5,3,1,2,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.actuator.axonserver","axonserver",3,5,2,0,2,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",3,8,3,1,3,0,""
"axon-common-5.0.2","org.axonframework.common.annotation","annotation",2,3,2,0,1,0,""
"axon-common-5.0.2","org.axonframework.common.property","property",2,3,2,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.service","service",2,8,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.service.connection","connection",2,8,1,0,1,0,""
"axon-common-5.0.2","org.axonframework.common.digest","digest",1,4,1,0,1,0,""
"axon-common-5.0.2","org.axonframework.common.lifecycle","lifecycle",1,2,1,0,1,0,""
"axon-common-5.0.2","org.axonframework.common.util","util",1,2,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.actuator","actuator",1,3,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util","util",1,1,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util.jpa","jpa",1,1,1,0,1,0,""
"axon-test-5.0.2","org.axonframework.test.server","server",1,3,1,0,1,0,""
"axon-update-5.0.2","org.axonframework.update.common","common",1,1,1,0,1,0,""
"axon-common-5.0.2","org.axonframework.common","common",0,0,0,0,0,-1,""
"axon-common-5.0.2","org.axonframework.common.function","function",0,0,0,0,0,-1,""
"axon-common-5.0.2","org.axonframework.common.io","io",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0,0,0,0,0,-1,""
