"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","event",2,9,1,0,1,0,""
"axon-common-5.0.2","org.axonframework.common.io","io",2,4,2,0,2,1,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",2,12,2,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.actuator","actuator",2,7,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.actuator.axonserver","axonserver",2,7,1,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.retry","retry",2,5,1,1,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.interception","interception",2,4,2,0,2,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",2,4,1,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation","annotation",2,3,2,1,2,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway","gateway",2,4,1,0,1,0,""
"axon-test-5.0.2","org.axonframework.test","test",2,8,2,0,1,0,""
"axon-test-5.0.2","org.axonframework.test.server","server",2,8,2,0,1,0,""
"axon-test-5.0.2","org.axonframework.test.util","util",2,4,1,0,1,0,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection","reflection",1,1,1,0,1,0,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",1,2,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.service","service",1,5,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.service.connection","connection",1,5,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util.jpa","jpa",1,2,1,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.interception","interception",1,2,1,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",1,2,1,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay","replay",1,2,1,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception","interception",1,2,1,0,1,0,""
"axon-update-5.0.2","org.axonframework.update.common","common",1,5,1,0,1,0,""
"axon-common-5.0.2","org.axonframework.common.caching","caching",0,0,0,0,0,-1,""
"axon-common-5.0.2","org.axonframework.common.digest","digest",0,0,0,0,0,-1,""
"axon-common-5.0.2","org.axonframework.common.lock","lock",0,0,0,0,0,-1,""
"axon-conversion-5.0.2","org.axonframework.conversion.converter","converter",0,0,0,0,0,-1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.configuration","configuration",0,0,0,0,0,-1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer","micrometer",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot","springboot",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.autoconfig","autoconfig",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry","opentelemetry",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.retry","retry",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.reflection","reflection",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.annotation","annotation",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay.annotation","annotation",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing.attributes","attributes",0,0,0,0,0,-1,""
"axon-test-5.0.2","org.axonframework.test.fixture","fixture",0,0,0,0,0,-1,""
