"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing.snapshotting","snapshotting",26,73,12,2,6,2,""
"axon-messaging-4.11.0","org.axonframework.common.lock","lock",25,100,12,2,6,3,""
"axon-messaging-4.11.0","org.axonframework.serialization.upcasting","upcasting",25,86,17,3,9,4,""
"axon-messaging-4.11.0","org.axonframework.serialization.upcasting.event","event",25,86,17,3,9,4,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.event","event",22,86,7,1,3,1,""
"axon-messaging-4.11.0","org.axonframework.common.annotation","annotation",21,38,21,0,9,2,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.event.axon","axon",19,76,4,1,2,1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.async","async",17,51,7,2,4,3,""
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",17,83,1,14,1,0,""
"axon-messaging-4.11.0","org.axonframework.commandhandling.gateway","gateway",16,43,7,1,3,2,""
"axon-messaging-4.11.0","org.axonframework.common.jpa","jpa",16,77,15,0,8,4,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.scheduling","scheduling",15,48,7,2,4,3,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.springboot.util","util",15,26,10,0,2,0,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.command","command",14,47,5,0,3,1,""
"axon-messaging-4.11.0","org.axonframework.common.legacyjpa","legacyjpa",14,61,13,0,7,3,""
"axon-messaging-4.11.0","org.axonframework.serialization.xml","xml",14,23,12,0,9,5,""
"axon-messaging-4.11.0","org.axonframework.common.caching","caching",11,49,9,0,4,3,""
"axon-messaging-4.11.0","org.axonframework.common.property","property",11,24,7,0,4,1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.deadletter","deadletter",11,60,6,2,3,1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.deadletter.jpa","jpa",11,109,5,2,2,1,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.query","query",10,38,4,0,2,1,""
"axon-messaging-4.11.0","org.axonframework.common.io","io",10,21,10,0,8,1,""
"axon-messaging-4.11.0","org.axonframework.commandhandling.callbacks","callbacks",9,22,8,0,5,2,""
"axon-messaging-4.11.0","org.axonframework.messaging.interceptors","interceptors",9,16,8,0,5,3,""
"axon-messaging-4.11.0","org.axonframework.commandhandling.distributed","distributed",8,14,6,0,3,1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.gateway","gateway",8,20,4,1,2,1,""
"axon-modelling-4.11.0","org.axonframework.modelling.saga.repository.jpa","jpa",8,39,4,0,4,2,""
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing.eventstore.jpa","jpa",7,28,4,0,3,2,""
"axon-modelling-4.11.0","org.axonframework.modelling.saga.metamodel","metamodel",7,44,5,1,2,0,""
"axon-messaging-4.11.0","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",6,12,2,1,1,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.tokenstore.jpa","jpa",6,54,3,0,3,2,""
"axon-messaging-4.11.0","org.axonframework.messaging.timeout","timeout",6,70,4,0,2,0,""
"axon-test-4.11.0","org.axonframework.test.deadline","deadline",6,46,4,0,2,0,""
"axon-messaging-4.11.0","org.axonframework.tracing.attributes","attributes",6,12,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.pooled","pooled",5,35,4,1,3,2,""
"axon-test-4.11.0","org.axonframework.test.utils","utils",5,14,4,1,1,0,""
"axon-messaging-4.11.0","org.axonframework.util","util",5,11,5,0,4,2,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.event.util","util",4,19,4,0,3,0,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.query.subscription","subscription",4,11,3,0,1,0,""
"axon-modelling-4.11.0","org.axonframework.modelling.saga.repository.inmemory","inmemory",4,11,4,0,2,1,""
"axon-modelling-4.11.0","org.axonframework.modelling.saga.repository.jdbc","jdbc",4,18,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.deadline.dbscheduler","dbscheduler",3,15,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.deadline.jobrunr","jobrunr",3,9,2,0,2,1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.deadletter.jdbc","jdbc",3,14,1,1,1,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.replay","replay",3,3,2,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",3,14,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",3,12,1,1,1,0,""
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",3,12,2,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.queryhandling.registration","registration",3,6,2,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.serialization.avro","avro",3,8,1,0,1,0,""
"axon-test-4.11.0","org.axonframework.test.eventscheduler","eventscheduler",3,18,2,0,1,0,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.actuator","actuator",2,7,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.actuator.axonserver","axonserver",2,7,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.common.digest","digest",2,2,2,0,2,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",2,8,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",2,7,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",2,3,2,0,2,1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",2,6,1,0,1,0,""
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing.conflictresolution","conflictresolution",2,5,1,0,1,0,""
"axon-modelling-4.11.0","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",2,6,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.serialization.json","json",2,11,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.springboot.service","service",2,6,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.springboot.service.connection","connection",2,6,1,0,1,0,""
"axon-test-4.11.0","org.axonframework.test","test",2,8,2,0,1,0,""
"axon-test-4.11.0","org.axonframework.test.server","server",2,8,2,0,1,0,""
"axon-tracing-opentelemetry-4.11.0","org.axonframework.tracing.opentelemetry","opentelemetry",2,3,1,0,1,0,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.processor","processor",1,5,1,0,1,0,""
"axon-disruptor-4.11.0","org.axonframework.disruptor.commandhandling","commandhandling",1,6,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.scheduling.java","java",1,10,1,0,1,0,""
"axon-messaging-4.11.0","org.axonframework.queryhandling.annotation","annotation",1,3,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.springboot.util.jpa","jpa",1,2,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.springboot.util.legacyjpa","legacyjpa",1,2,1,0,1,0,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.heartbeat","heartbeat",0,0,0,0,0,-1,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.heartbeat.connection","connection",0,0,0,0,0,-1,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.heartbeat.connection.checker","checker",0,0,0,0,0,-1,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.heartbeat.source","source",0,0,0,0,0,-1,""
"axon-messaging-4.11.0","org.axonframework.deadline.annotation","annotation",0,0,0,0,0,-1,""
"axon-messaging-4.11.0","org.axonframework.deadline.quartz","quartz",0,0,0,0,0,-1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.interceptors","interceptors",0,0,0,0,0,-1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.scheduling.quartz","quartz",0,0,0,0,0,-1,""
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,0,0,0,0,-1,""
"axon-messaging-4.11.0","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,0,0,0,0,-1,""
"axon-modelling-4.11.0","org.axonframework.modelling.command.legacyjpa","legacyjpa",0,0,0,0,0,-1,""
"axon-messaging-4.11.0","org.axonframework.serialization.converters","converters",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.springboot","springboot",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.springboot.autoconfig","autoconfig",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-4.11.0","org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa",0,0,0,0,0,-1,""
"axon-test-4.11.0","org.axonframework.test.aggregate","aggregate",0,0,0,0,0,-1,""
"axon-test-4.11.0","org.axonframework.test.saga","saga",0,0,0,0,0,-1,""
