"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionSilentCoordinators.cypher"
"org.axonframework.eventsourcing.snapshot.inmemory.InMemorySnapshotStore","InMemorySnapshotStore","axon-eventsourcing-5.1.0",0,3,0,3,""
"org.axonframework.eventsourcing.eventstore.MetadataBasedTagResolver","MetadataBasedTagResolver","axon-eventsourcing-5.1.0",0,4,0,4,""
"org.axonframework.eventsourcing.eventstore.MultiTagResolver","MultiTagResolver","axon-eventsourcing-5.1.0",0,3,0,3,""
"org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver","SQLErrorCodesResolver","axon-eventsourcing-5.1.0",0,4,0,4,""
"org.axonframework.eventsourcing.eventstore.jpa.SQLStateResolver","SQLStateResolver","axon-eventsourcing-5.1.0",0,2,0,2,""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarkers","ConsistencyMarkers","axon-eventsourcing-5.1.0",0,2,0,2,""
"org.axonframework.eventsourcing.configuration.EventSourcingConfigurer","EventSourcingConfigurer","axon-eventsourcing-5.1.0",0,15,0,15,""
"org.axonframework.eventsourcing.eventstore.PayloadBasedTagResolver","PayloadBasedTagResolver","axon-eventsourcing-5.1.0",0,3,0,3,""
"org.axonframework.conversion.converter.ByteArrayToStringConverter","ByteArrayToStringConverter","axon-conversion-5.1.0",0,1,0,1,""
"org.axonframework.conversion.converter.ByteArrayToInputStreamConverter","ByteArrayToInputStreamConverter","axon-conversion-5.1.0",0,1,0,1,""
"org.axonframework.conversion.converter.StringToByteArrayConverter","StringToByteArrayConverter","axon-conversion-5.1.0",0,1,0,1,""
"org.axonframework.conversion.converter.InputStreamToByteArrayConverter","InputStreamToByteArrayConverter","axon-conversion-5.1.0",0,2,0,2,""
"org.axonframework.conversion.converter.BlobToInputStreamConverter","BlobToInputStreamConverter","axon-conversion-5.1.0",0,2,0,2,""
"org.axonframework.conversion.jackson2.Jackson2Converter","Jackson2Converter","axon-conversion-5.1.0",0,9,0,9,""
"org.axonframework.conversion.PassThroughConverter","PassThroughConverter","axon-conversion-5.1.0",0,2,0,2,""
"org.axonframework.conversion.avro.AvroConverter","AvroConverter","axon-conversion-5.1.0",0,10,0,10,""
"org.axonframework.conversion.avro.GenericRecordToByteArrayConverter","GenericRecordToByteArrayConverter","axon-conversion-5.1.0",0,3,0,3,""
"org.axonframework.update.UpdateCheckerConfigurationEnhancer","UpdateCheckerConfigurationEnhancer","axon-update-5.1.0",0,13,0,13,""
"io.axoniq.framework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory","AxonServerDockerComposeConnectionDetailsFactory","axoniq-spring-boot-autoconfigure-5.1.0",0,1,0,1,""
"org.axonframework.eventsourcing.annotation.EventSourcingHandler","EventSourcingHandler","axon-eventsourcing-5.1.0",0,1,0,1,""
