"filesPerCommit","commitCount","Source Cypher File: domains/git-history/queries/statistics/List_git_files_per_commit_distribution.cypher"
1,4635,""
2,1795,""
3,901,""
4,567,""
5,472,""
6,287,""
7,195,""
8,161,""
9,103,""
10,130,""
11,131,""
12,255,""
13,91,""
14,78,""
15,50,""
16,45,""
17,41,""
18,37,""
19,44,""
20,32,""
21,36,""
22,22,""
23,82,""
24,26,""
25,31,""
26,12,""
27,16,""
28,20,""
29,19,""
30,22,""
31,14,""
32,20,""
33,14,""
34,17,""
35,12,""
36,10,""
37,10,""
38,13,""
39,14,""
40,5,""
41,12,""
42,12,""
43,14,""
44,11,""
45,6,""
46,8,""
47,8,""
48,10,""
49,8,""
50,8,""
51,8,""
52,8,""
53,7,""
54,6,""
55,3,""
56,6,""
57,4,""
58,8,""
59,4,""
60,6,""
61,7,""
62,5,""
63,2,""
64,5,""
65,5,""
66,3,""
67,7,""
68,7,""
69,5,""
70,5,""
71,5,""
72,5,""
73,4,""
74,5,""
75,1,""
76,2,""
77,4,""
78,4,""
79,3,""
80,6,""
81,5,""
82,2,""
83,2,""
84,2,""
85,2,""
86,6,""
87,2,""
88,2,""
89,2,""
90,2,""
91,4,""
92,5,""
93,1,""
94,4,""
95,1,""
96,2,""
97,2,""
98,2,""
99,2,""
100,1,""
101,1,""
102,3,""
104,1,""
105,2,""
106,3,""
107,1,""
108,1,""
109,1,""
110,2,""
111,1,""
113,1,""
114,2,""
115,1,""
117,1,""
118,2,""
120,2,""
122,1,""
123,3,""
126,1,""
128,2,""
130,1,""
131,1,""
133,1,""
134,2,""
135,1,""
138,1,""
141,1,""
143,1,""
149,1,""
150,2,""
151,1,""
153,1,""
155,1,""
159,1,""
160,1,""
162,1,""
164,1,""
166,1,""
171,1,""
173,3,""
185,2,""
187,1,""
192,1,""
193,1,""
195,1,""
201,2,""
202,1,""
203,2,""
205,2,""
206,2,""
207,4,""
208,1,""
209,1,""
215,1,""
218,1,""
223,1,""
228,1,""
244,1,""
252,1,""
263,1,""
277,1,""
286,1,""
299,1,""
311,1,""
323,1,""
342,1,""
345,1,""
357,1,""
411,1,""
446,1,""
469,1,""
498,1,""
538,1,""
544,1,""
602,1,""
747,1,""
752,1,""
759,1,""
762,1,""
763,1,""
801,1,""
807,1,""
839,1,""
875,1,""
1061,1,""
