"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: domains/overview/queries/overview/Number_of_types_per_artifact.cypher"
"axon-messaging-5.1.1",633,"Interface",195,""
"axon-messaging-5.1.1",633,"Class",372,""
"axon-messaging-5.1.1",633,"Annotation",28,""
"axon-messaging-5.1.1",633,"Enum",8,""
"axon-common-5.1.1",175,"Class",106,""
"axon-common-5.1.1",175,"Interface",57,""
"axon-common-5.1.1",175,"Annotation",3,""
"axon-common-5.1.1",175,"Enum",5,""
"axon-eventsourcing-5.1.1",128,"Interface",37,""
"axon-eventsourcing-5.1.1",128,"Class",71,""
"axon-eventsourcing-5.1.1",128,"Annotation",8,""
"axon-modelling-5.1.1",99,"Class",60,""
"axon-modelling-5.1.1",99,"Interface",36,""
"axon-modelling-5.1.1",99,"Annotation",3,""
"axon-server-connector-5.1.1",79,"Class",57,""
"axon-server-connector-5.1.1",79,"Interface",16,""
"axon-server-connector-5.1.1",79,"Enum",2,""
"axon-test-5.1.1",79,"Class",51,""
"axon-test-5.1.1",79,"Interface",22,""
"axon-test-5.1.1",79,"Annotation",1,""
"axon-conversion-5.1.1",41,"Class",29,""
"axon-conversion-5.1.1",41,"Interface",10,""
"axon-update-5.1.1",28,"Interface",8,""
"axon-update-5.1.1",28,"Class",14,""
"axon-update-5.1.1",28,"Enum",1,""
"axoniq-spring-boot-autoconfigure-5.1.1",26,"Class",20,""
"axoniq-spring-boot-autoconfigure-5.1.1",26,"Interface",6,""
"axon-metrics-micrometer-5.1.1",19,"Interface",3,""
"axon-metrics-micrometer-5.1.1",19,"Class",16,""
"axon-tracing-opentelemetry-5.1.1",6,"Class",5,""
"axon-tracing-opentelemetry-5.1.1",6,"Interface",1,""
