"sourceLabels","targetLabels","numberOfNodes","percentageOfTotalNodes","Source Cypher File: Overview/Dependency_node_labels.cypher"
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",105,0.03,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",73,0.02,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",50,0.02,""
"Type,File,Java,Class,GenericDeclaration,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",45,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",42,0.01,""
"Type,File,Java,Class,GenericDeclaration,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",38,0.01,""
"Type,File,Java,Class,GenericDeclaration,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",37,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",36,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",34,0.01,""
"Type,File,Java,Class,GenericDeclaration,ByteCode","Type,File,Java,ByteCode,JavaType",33,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType,ResolvedDuplicateType",32,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",31,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",30,0.01,""
"Type,File,Java,Class,GenericDeclaration,ByteCode","Type,File,Java,ByteCode,JavaType",29,0.01,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,JavaType",28,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",27,0.01,""
"Type,File,Java,ByteCode,Interface,Class","Type,File,Java,ByteCode,ResolvedDuplicateType",26,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",25,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",24,0.01,""
"Type,File,Java,Class,GenericDeclaration,ByteCode","Type,File,Java,ByteCode,JavaType",24,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",23,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",22,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",21,0.01,""
