"codeUnitName","shortCodeUnitName","projectName","betweenness","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionPopularBottlenecks.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.1.2",1400,53.88884355019086,48,46,2,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.1.2",9809.049206349207,18.58762244866974,240,234,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.1.2",6610.471428571427,16.88448461381728,233,228,5,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.1.2",663.6666666666666,11.040244162776041,48,47,1,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.1.2",784.4999999999999,10.52457835800931,53,52,1,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.1.2",1907.8285714285716,8.230575090141999,29,25,4,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.1.2",643,8.192874594806629,42,41,1,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.1.2",523.6511904761904,7.372324262399288,96,93,3,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.1.2",595.0833333333334,7.015883661299966,16,15,1,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.1.2",11352.07135642136,5.1910451622900755,147,126,21,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.1.2",1803.2303030303026,5.180781285953225,140,137,3,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.1.2",4625.822222222222,4.158071231421431,71,68,3,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.1.2",651.5647186147187,3.2148138840375307,70,67,3,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.1.2",1125.4166666666665,2.881716509025776,26,25,1,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember","axon-messaging-5.1.2",1193.0833333333333,2.4116954285585392,42,38,4,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria","axon-messaging-5.1.2",1457.6333333333332,2.3627773856885033,39,31,8,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","axon-messaging-5.1.2",411.2,2.297871048724382,48,47,1,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.1.2",4159.611111111112,2.286312242732708,65,62,3,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single","axon-messaging-5.1.2",941.2523809523809,2.1599603208226,52,45,7,""
"org.axonframework.messaging.commandhandling.CommandResultMessage","CommandResultMessage","axon-messaging-5.1.2",563.4797619047619,1.8722338063485138,34,30,4,""
