"codeUnitName","shortCodeUnitName","projectName","betweenness","articleRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionDependencyHungryOrchestrators.cypher"
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.0",9915.865223665227,8.612652084289655,220,214,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.0",6666.769047619046,7.372359899808693,234,229,5,""
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.0",1362,4.824366141635518,43,41,2,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.0.0",782.0000000000002,4.405765985250332,38,37,1,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.0",9548.700162908986,3.3748579077470096,153,132,21,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.0.0",2025.1833333333338,3.247411245224092,28,24,4,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.0",2006.4198412698413,2.8607193937800917,139,136,3,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.0",4751.992908072319,2.1556289072598305,71,68,3,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.0",742.9452380952382,1.698118810222988,73,70,3,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.0",652.25,1.648449932096319,46,45,1,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember","axon-messaging-5.0.0",1178.8333333333335,1.454529846840494,42,38,4,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.0",591.1333333333334,1.3707722655137382,16,15,1,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single","axon-messaging-5.0.0",1357.544047619048,1.335549045755031,53,45,8,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.0.0",4154.451031321619,1.2530575599216345,57,54,3,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.0",642,1.2142214018036843,39,38,1,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria","axon-messaging-5.0.0",1385.5277777777776,1.173884451944622,36,28,8,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.0",1108.6499999999999,1.111123688564818,24,23,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-common-5.0.0",486.7575757575758,0.9361611049601578,35,32,3,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","axon-messaging-5.0.0",410.8666666666667,0.8945516194327656,48,47,1,""
"org.axonframework.messaging.core.MessageStream$Empty","MessageStream$Empty","axon-messaging-5.0.0",676.4519294431059,0.8027086007037227,53,48,5,""
