"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
1,11,"org.axonframework.update.api,org.axonframework.update.detection,org.axonframework.update.common,org.axonframework.update.configuration,org.axonframework.extension.tracing.opentelemetry,io.axoniq.framework.springboot,org.axonframework.extension.metrics.micrometer.springboot,io.axoniq.framework.axonserver.connector.api.command,io.axoniq.framework.axonserver.connector.api.query",""
0.93,2,"org.axonframework.messaging.eventhandling.processing.errorhandling,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory",""
0.9,2,"org.axonframework.messaging.eventhandling.tracing,org.axonframework.messaging.core.correlation",""
0.86,1,"org.axonframework.modelling.entity.child",""
0.83,3,"org.axonframework.test.extension,org.axonframework.conversion.avro,org.axonframework.messaging.queryhandling.tracing",""
0.81,2,"org.axonframework.messaging.eventhandling.interception,org.axonframework.messaging.core.interception.annotation",""
0.8,3,"org.axonframework.messaging.commandhandling.retry,org.axonframework.messaging.eventhandling.processing.streaming,org.axonframework.messaging.core.retry",""
0.76,2,"org.axonframework.messaging.eventhandling.replay,org.axonframework.messaging.core.timeout",""
0.75,1,"org.axonframework.messaging.eventhandling.gateway",""
0.73,3,"org.axonframework.test.matchers,org.axonframework.messaging.commandhandling.tracing,org.axonframework.messaging.queryhandling.gateway",""
0.72,2,"org.axonframework.messaging.commandhandling.gateway,org.axonframework.messaging.eventhandling.processing.streaming.token.store",""
0.71,5,"org.axonframework.test.util,org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.commandhandling.configuration,org.axonframework.messaging.eventhandling.replay.annotation,org.axonframework.messaging.monitoring.interception",""
0.67,8,"org.axonframework.eventsourcing.snapshot.inmemory,org.axonframework.common.property,org.axonframework.conversion.jackson2,org.axonframework.messaging.eventhandling.processing.streaming.token.annotation,org.axonframework.messaging.core.interception,org.axonframework.messaging.core.reflection,org.axonframework.messaging.queryhandling.interception,org.axonframework.messaging.queryhandling.configuration",""
0.65,4,"org.axonframework.eventsourcing,org.axonframework.modelling.repository,org.axonframework.messaging.eventhandling.processing.subscribing,org.axonframework.messaging.monitoring.configuration",""
0.64,1,"org.axonframework.eventsourcing.eventstore.inmemory",""
0.63,1,"org.axonframework.modelling.entity",""
0.62,1,"org.axonframework.eventsourcing.annotation.reflection",""
0.61,1,"org.axonframework.messaging.eventhandling.processing",""
0.6,5,"org.axonframework.common.function,org.axonframework.common.jpa,org.axonframework.test,io.axoniq.framework.axonserver.connector.snapshot,org.axonframework.modelling.configuration",""
0.58,3,"org.axonframework.eventsourcing.annotation,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.queryhandling.annotation",""
0.57,4,"org.axonframework.eventsourcing.snapshot.api,org.axonframework.eventsourcing.handler,org.axonframework.common.jdbc,org.axonframework.messaging.core.configuration.reflection",""
0.56,3,"org.axonframework.eventsourcing.snapshot.store,org.axonframework.modelling.annotation,org.axonframework.messaging.eventhandling.configuration",""
0.54,2,"org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.eventstreaming",""
0.53,6,"org.axonframework.modelling,org.axonframework.modelling.entity.annotation,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.eventhandling.annotation,org.axonframework.messaging.core.sequencing,org.axonframework.messaging.monitoring",""
0.5,3,"org.axonframework.common.lifecycle,org.axonframework.conversion.jackson,org.axonframework.messaging.core.unitofwork.transaction",""
0.49,2,"org.axonframework.common.tx,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc",""
0.47,1,"org.axonframework.messaging.tracing",""
0.46,1,"org.axonframework.test.fixture",""
0.45,1,"io.axoniq.framework.axonserver.connector.event",""
0.44,1,"io.axoniq.framework.axonserver.connector.query",""
0.43,1,"org.axonframework.eventsourcing.eventstore",""
0.42,4,"org.axonframework.extension.metrics.micrometer,io.axoniq.framework.axonserver.connector.shared,org.axonframework.messaging.eventhandling.conversion,org.axonframework.messaging.eventhandling.processing.streaming.pooled",""
0.41,1,"io.axoniq.framework.axonserver.connector.command",""
0.39,5,"org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.messaging.core.unitofwork.transaction.jdbc,org.axonframework.messaging.core.unitofwork.transaction.jpa,org.axonframework.messaging.core.conversion,org.axonframework.messaging.queryhandling",""
0.38,2,"org.axonframework.eventsourcing.configuration,org.axonframework.update",""
0.36,3,"io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.configuration,org.axonframework.messaging.eventhandling.processing.streaming.token",""
0.33,2,"io.axoniq.framework.springboot.actuator.axonserver,io.axoniq.framework.axonserver.connector.util",""
0.29,1,"org.axonframework.messaging.core.annotation",""
0.28,2,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.core.configuration",""
0.27,1,"org.axonframework.messaging.eventhandling",""
0.26,2,"org.axonframework.common.configuration,org.axonframework.conversion",""
0.17,1,"org.axonframework.common.util",""
0.16,4,"io.axoniq.framework.springboot.autoconfig,org.axonframework.common.infra,org.axonframework.common.annotation,org.axonframework.messaging.core.unitofwork",""
0.15,1,"org.axonframework.messaging.core",""
0.14,1,"org.axonframework.common",""
0,8,"io.axoniq.framework.springboot.actuator,io.axoniq.framework.springboot.service.connection,org.axonframework.common.digest,org.axonframework.common.io,org.axonframework.common.caching,org.axonframework.common.lock,org.axonframework.conversion.converter,org.axonframework.extension.metrics.micrometer.reservoir",""
