"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.test.saga.SagaTestFixture$1","SagaTestFixture$1","axon-test-4.12.0",278,3,2,1,""
"org.axonframework.serialization.GapAwareTrackingTokenConverter","GapAwareTrackingTokenConverter","axon-messaging-4.12.0",211.83333333333331,3,1,2,""
"org.axonframework.common.IdentifierValidator","IdentifierValidator","axon-messaging-4.12.0",163.33333333333331,2,1,1,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$1","DisruptorCommandBus$1","axon-disruptor-4.12.0",160.66666666666669,3,2,1,""
"org.axonframework.common.lock.DeadlockException","DeadlockException","axon-messaging-4.12.0",134,3,2,1,""
"org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker$1","DeadLetteringEventHandlerInvoker$1","axon-messaging-4.12.0",128.66666666666663,3,2,1,""
"org.axonframework.eventsourcing.AggregateSnapshotter$1","AggregateSnapshotter$1","axon-eventsourcing-4.12.0",128.5,3,2,1,""
"org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$1","BatchingEventStorageEngine$1","axon-eventsourcing-4.12.0",121.00000000000001,3,2,1,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$2","RollbackConfigurationType$2","axon-messaging-4.12.0",113.75,3,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$4","RollbackConfigurationType$4","axon-messaging-4.12.0",113.75,3,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$3","RollbackConfigurationType$3","axon-messaging-4.12.0",113.75,3,1,2,""
"org.axonframework.serialization.xml.Dom4JToByteArrayConverter","Dom4JToByteArrayConverter","axon-messaging-4.12.0",67.16666666666666,3,1,2,""
"org.axonframework.axonserver.connector.InstructionAckSource","InstructionAckSource","axon-server-connector-4.12.0",66.25,3,2,1,""
"org.axonframework.springboot.DistributedCommandBusProperties","DistributedCommandBusProperties","axon-spring-boot-autoconfigure-4.12.0",66,3,1,2,""
"org.axonframework.axonserver.connector.query.AxonServerRemoteQueryHandlingException","AxonServerRemoteQueryHandlingException","axon-server-connector-4.12.0",62.250000000000014,3,1,2,""
"org.axonframework.axonserver.connector.TopologyChangeListener","TopologyChangeListener","axon-server-connector-4.12.0",56,3,2,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine$1","JdbcEventStorageEngine$1","axon-eventsourcing-4.12.0",55.25,3,2,1,""
"org.axonframework.modelling.saga.repository.NoResourceInjector","NoResourceInjector","axon-modelling-4.12.0",54.916666666666664,3,2,1,""
"org.axonframework.axonserver.connector.event.util.EventCipher","EventCipher","axon-server-connector-4.12.0",50,3,2,1,""
"org.axonframework.serialization.xml.InputStreamToDom4jConverter","InputStreamToDom4jConverter","axon-messaging-4.12.0",49.5,3,1,2,""
