"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.12.0",830,"Class",623,""
"axon-messaging-4.12.0",830,"Interface",160,""
"axon-messaging-4.12.0",830,"Enum",20,""
"axon-messaging-4.12.0",830,"Annotation",27,""
"axon-modelling-4.12.0",158,"Class",115,""
"axon-modelling-4.12.0",158,"Enum",3,""
"axon-modelling-4.12.0",158,"Annotation",12,""
"axon-modelling-4.12.0",158,"Interface",28,""
"axon-server-connector-4.12.0",147,"Class",119,""
"axon-server-connector-4.12.0",147,"Enum",2,""
"axon-server-connector-4.12.0",147,"Interface",26,""
"axon-eventsourcing-4.12.0",133,"Interface",32,""
"axon-eventsourcing-4.12.0",133,"Class",98,""
"axon-eventsourcing-4.12.0",133,"Enum",2,""
"axon-eventsourcing-4.12.0",133,"Annotation",1,""
"axon-spring-boot-autoconfigure-4.12.0",90,"Annotation",3,""
"axon-spring-boot-autoconfigure-4.12.0",90,"Class",84,""
"axon-spring-boot-autoconfigure-4.12.0",90,"Enum",2,""
"axon-spring-boot-autoconfigure-4.12.0",90,"Interface",1,""
"axon-test-4.12.0",87,"Interface",16,""
"axon-test-4.12.0",87,"Class",71,""
"axon-configuration-4.12.0",43,"Interface",17,""
"axon-configuration-4.12.0",43,"Class",24,""
"axon-configuration-4.12.0",43,"Annotation",1,""
"axon-configuration-4.12.0",43,"Enum",1,""
"axon-disruptor-4.12.0",22,"Class",22,""
"axon-tracing-opentelemetry-4.12.0",5,"Class",5,""
