"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.persistence.Basic","Field",39,"org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType,org.axonframework.eventhandling.AbstractEventEntry.payloadRevision,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.processingGroup",""
"jakarta.persistence.Basic","Field",33,"org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType,org.axonframework.eventhandling.AbstractEventEntry.payloadRevision,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.processingGroup",""
"com.fasterxml.jackson.annotation.JsonProperty","Parameter",32,"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>(1),org.axonframework.eventhandling.GapAwareTrackingToken.<init>(0),org.axonframework.eventhandling.GapAwareTrackingToken.<init>(1)",""
"org.springframework.boot.autoconfigure.AutoConfiguration","Class",27,"org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration,org.axonframework.springboot.autoconfig.OpenTelemetryAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.springboot.autoconfig.JdbcAutoConfiguration,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.CBORMapperAutoConfiguration",""
"java.lang.annotation.Documented","Annotation",24,"org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.config.ProcessingGroup,org.axonframework.commandhandling.CommandHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.DisallowReplay,org.axonframework.eventhandling.EventHandler,org.axonframework.lifecycle.ShutdownHandler,org.axonframework.lifecycle.StartHandler,org.axonframework.messaging.annotation.HasHandlerAttributes",""
"java.beans.ConstructorProperties","Constructor",21,"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>,org.axonframework.eventhandling.GapAwareTrackingToken.<init>,org.axonframework.eventhandling.ReplayToken.<init>,org.axonframework.eventhandling.GlobalSequenceTrackingToken.<init>,org.axonframework.eventhandling.MergedTrackingToken.<init>",""
"java.lang.Deprecated","Constructor",20,"org.axonframework.eventsourcing.MultiStreamableMessageSource.<init>,org.axonframework.eventsourcing.snapshotting.RevisionSnapshotFilter.<init>,org.axonframework.commandhandling.callbacks.FailureLoggingCallback.<init>,org.axonframework.commandhandling.distributed.AbstractRoutingStrategy.<init>,org.axonframework.commandhandling.distributed.AnnotationRoutingStrategy.<init>,org.axonframework.commandhandling.distributed.MetaDataRoutingStrategy.<init>,org.axonframework.eventhandling.ReplayToken.<init>,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder.<init>,org.axonframework.modelling.command.AnnotationCommandTargetResolver.<init>",""
"org.springframework.beans.factory.annotation.Qualifier","Parameter",20,"org.axonframework.springboot.autoconfig.AxonAutoConfiguration.eventSerializer(0),org.axonframework.springboot.autoconfig.AxonAutoConfiguration.serializerConfigurer(0),org.axonframework.springboot.autoconfig.AxonAutoConfiguration.serializerConfigurer(1),org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.eventScheduler(1),org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.deadlineManager(2),org.axonframework.springboot.autoconfig.JdbcAutoConfiguration.eventStorageEngine(2),org.axonframework.springboot.autoconfig.JdbcAutoConfiguration.deadLetterQueueProviderConfigurerModule(4),org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerCommandBus(2),org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerCommandBus(3)",""
"org.springframework.boot.autoconfigure.AutoConfigureAfter","Class",17,"org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.springboot.autoconfig.JdbcAutoConfiguration,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.AxonJobRunrAutoConfiguration,org.axonframework.springboot.autoconfig.ObjectMapperAutoConfiguration,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration",""
"com.fasterxml.jackson.annotation.JsonCreator","Constructor",16,"org.axonframework.eventhandling.GapAwareTrackingToken.<init>,org.axonframework.eventhandling.ReplayToken.<init>,org.axonframework.eventhandling.GlobalSequenceTrackingToken.<init>,org.axonframework.eventhandling.MergedTrackingToken.<init>,org.axonframework.eventhandling.MultiSourceTrackingToken.<init>,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerScheduleToken.<init>,org.axonframework.eventhandling.scheduling.java.SimpleScheduleToken.<init>,org.axonframework.eventhandling.scheduling.jobrunr.JobRunrScheduleToken.<init>,org.axonframework.eventhandling.scheduling.quartz.QuartzScheduleToken.<init>",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnBean","Method",16,"org.axonframework.springboot.autoconfig.JdbcAutoConfiguration.sagaStoreWithSchema,org.axonframework.springboot.autoconfig.AxonAutoConfiguration.eventStore,org.axonframework.springboot.autoconfig.AxonAutoConfiguration.aggregateSnapshotter,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration.commandDispatchInterceptorConfigurer,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration.eventDispatchInterceptorConfigurer,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration.queryDispatchInterceptorConfigurer,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration.commandHandlerInterceptorConfigurer,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration.queryHandlerInterceptorConfigurer,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","Method",16,"org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.eventStore,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerEventStoreFactory,org.axonframework.springboot.autoconfig.MetricsAutoConfiguration.metricsConfigurerModule,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration.eventScheduler,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration.persistentStreamScheduledExecutorBuilder,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration.backwardsCompatiblePersistentStreamScheduledExecutorBuilder,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration.persistentStreamRegistrar,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration.autoPersistentStreamMessageSourceDefinitionBuilder,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration.persistentStreamProcessorsConfigurerModule",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnClass","Class",15,"org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$ConnectionDetailsConnectionManagerConfiguration,org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration,org.axonframework.springboot.autoconfig.OpenTelemetryAutoConfiguration,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.CBORMapperAutoConfiguration,org.axonframework.springboot.autoconfig.ObjectMapperAutoConfiguration,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration,org.axonframework.springboot.autoconfig.MetricsAutoConfiguration,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration",""
"org.springframework.boot.autoconfigure.AutoConfigureBefore","Class",15,"org.axonframework.springboot.autoconfig.OpenTelemetryAutoConfiguration,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.springboot.autoconfig.JdbcAutoConfiguration,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.CBORMapperAutoConfiguration,org.axonframework.springboot.autoconfig.ObjectMapperAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.MetricsAutoConfiguration",""
"org.springframework.boot.context.properties.EnableConfigurationProperties","Class",13,"org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration,org.axonframework.springboot.autoconfig.JdbcAutoConfiguration,org.axonframework.springboot.autoconfig.CBORMapperAutoConfiguration,org.axonframework.springboot.autoconfig.ObjectMapperAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration,org.axonframework.springboot.autoconfig.MetricsAutoConfiguration,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration,org.axonframework.springboot.autoconfig.JpaAutoConfiguration",""
"javax.persistence.Column","Field",12,"org.axonframework.eventhandling.AbstractEventEntry.eventIdentifier,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.causeMessage,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.token,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry.token",""
"org.axonframework.common.Priority","Class",11,"org.axonframework.test.FixtureResourceParameterResolverFactory,org.axonframework.config.ConfigurationParameterResolverFactory,org.axonframework.commandhandling.CurrentUnitOfWorkParameterResolverFactory,org.axonframework.eventhandling.SequenceNumberParameterResolverFactory,org.axonframework.eventhandling.TimestampParameterResolverFactory,org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory,org.axonframework.messaging.annotation.DefaultParameterResolverFactory,org.axonframework.messaging.annotation.AggregateTypeParameterResolverFactory,org.axonframework.messaging.annotation.SimpleResourceParameterResolverFactory",""
"jakarta.persistence.Column","Field",11,"org.axonframework.eventhandling.AbstractEventEntry.eventIdentifier,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.causeMessage,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.eventIdentifier,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.token",""
"javax.persistence.Id","Field",10,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.aggregateIdentifier,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.sequenceNumber,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.type,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.deadLetterId,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.processorName,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.segment,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.sagaId,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.id",""
"javax.persistence.Lob","Field",10,"org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.token,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry.token,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.token,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.serializedSaga",""
"org.springframework.boot.context.properties.ConfigurationProperties","Class",10,"org.axonframework.springboot.TracingProperties,org.axonframework.springboot.EventProcessorProperties,org.axonframework.springboot.SerializerProperties,org.axonframework.springboot.TokenStoreProperties,org.axonframework.springboot.TimeoutProperties,org.axonframework.springboot.MetricsProperties,org.axonframework.springboot.updates.UpdateCheckConfiguration,org.axonframework.springboot.TagsConfigurationProperties,org.axonframework.springboot.DistributedCommandBusProperties",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","Class",10,"org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$EventsXStreamCondition,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$AvroConfiguredCondition$MessagesAvroCondition,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$AvroConfiguredCondition$EventsAvroCondition,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$MessagesXStreamCondition,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$GeneralXStreamCondition,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$GeneralDefaultCondition,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration",""
"java.lang.SafeVarargs","Constructor",9,"org.axonframework.test.matchers.ListWithAllOfMatcher.<init>,org.axonframework.test.matchers.ListWithAnyOfMatcher.<init>,org.axonframework.test.matchers.SequenceMatcher.<init>,org.axonframework.test.matchers.ExactSequenceMatcher.<init>,org.axonframework.test.matchers.ListMatcher.<init>,org.axonframework.commandhandling.gateway.NonTransientExceptionClassesPredicate.<init>,org.axonframework.messaging.unitofwork.BatchingUnitOfWork.<init>,org.axonframework.monitoring.MultiMessageMonitor.<init>,org.axonframework.serialization.upcasting.GenericUpcasterChain.<init>",""
"jakarta.persistence.Id","Field",9,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.aggregateIdentifier,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.sequenceNumber,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.type,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.deadLetterId,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.processorName,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.segment,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.id,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaId",""
"com.fasterxml.jackson.annotation.JsonGetter","Method",9,"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.getFirst,org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.getSecond,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.getCommandNames,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.getCommandNames,org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.getFilter,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.getFirst,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.getSecond,org.axonframework.eventhandling.MergedTrackingToken.lowerSegmentToken,org.axonframework.eventhandling.MergedTrackingToken.upperSegmentToken",""
"java.lang.Deprecated","Field",9,"org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder.SERIALIZED_DEADLINE_MESSAGE,org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder.SERIALIZED_DEADLINE_MESSAGE_CLASS_NAME,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder.EVENT_KEY,org.axonframework.axonserver.connector.AxonServerConfiguration.initialNrOfPermits,org.axonframework.axonserver.connector.AxonServerConfiguration.eventCipher,org.axonframework.axonserver.connector.AxonServerConfiguration.suppressDownloadMessage,org.axonframework.axonserver.connector.AxonServerConfiguration.disableEventBlacklisting,org.axonframework.axonserver.connector.AxonServerConfiguration.maxGrpcBufferedMessages,org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration.initialNrOfPermits",""
"org.axonframework.messaging.annotation.HasHandlerAttributes","Annotation",9,"org.axonframework.eventhandling.AllowReplay,org.axonframework.lifecycle.ShutdownHandler,org.axonframework.lifecycle.StartHandler,org.axonframework.messaging.annotation.MessageHandler,org.axonframework.messaging.annotation.MessageHandlerTimeout,org.axonframework.messaging.interceptors.ResultHandler,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.saga.EndSaga,org.axonframework.modelling.saga.StartSaga",""
"jakarta.persistence.Lob","Field",8,"org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.token,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.token,org.axonframework.modelling.saga.repository.jpa.SagaEntry.serializedSaga",""
"org.springframework.context.annotation.Conditional","Method",8,"org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration.usagePropertyProvider,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration.updateCheckerHttpClient,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration.updateCheckerReporter,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration.updateChecker,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration.defaultAxonXStream,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration.defaultAxonSchemaStore,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration.collectAvroSchemasFromClassPath,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration.specificRecordBaseClasspathAvroSchemaLoader",""
"org.springframework.boot.context.properties.NestedConfigurationProperty","Field",8,"org.axonframework.springboot.TimeoutProperties$TransactionTimeoutProperties.commandBus,org.axonframework.springboot.TimeoutProperties$TransactionTimeoutProperties.queryBus,org.axonframework.springboot.TimeoutProperties$TransactionTimeoutProperties.deadline,org.axonframework.springboot.TimeoutProperties$TransactionTimeoutProperties.eventProcessors,org.axonframework.springboot.TimeoutProperties$MessageHandlerTimeoutProperties.events,org.axonframework.springboot.TimeoutProperties$MessageHandlerTimeoutProperties.commands,org.axonframework.springboot.TimeoutProperties$MessageHandlerTimeoutProperties.queries,org.axonframework.springboot.TimeoutProperties$MessageHandlerTimeoutProperties.deadlines",""
"java.lang.Deprecated","Interface",7,"org.axonframework.common.legacyjpa.EntityManagerProvider,org.axonframework.eventhandling.deadletter.legacyjpa.DeadLetterJpaConverter,org.axonframework.modelling.command.inspection.CommandHandlerInterceptorHandlingMember,org.axonframework.axonserver.connector.InstructionResultPublisher,org.axonframework.axonserver.connector.heartbeat.ConnectionSanityChecker,org.axonframework.axonserver.connector.heartbeat.HeartbeatSource,org.axonframework.axonserver.connector.Publisher",""
