"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: domains/java/queries/java-code-quality/Annotated_code_elements.cypher"
"org.axonframework.common.annotation.Internal","Method",13,"org.axonframework.common.configuration.DefaultComponentRegistry.create,org.axonframework.common.configuration.DefaultComponentRegistry.createLocalConfiguration,org.axonframework.conversion.DelegatingGeneralConverter.delegate,org.axonframework.messaging.eventhandling.conversion.DelegatingEventConverter.delegate,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorsConfigurer.build,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorsConfigurer.build,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore.converter,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStore.converter,org.axonframework.messaging.core.conversion.DelegatingMessageConverter.delegate",""
"org.axonframework.common.Priority","Class",12,"org.axonframework.test.FixtureResourceParameterResolverFactory,org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory,org.axonframework.messaging.eventhandling.annotation.TimestampParameterResolverFactory,org.axonframework.messaging.core.unitofwork.annotation.ProcessingContextParameterResolverFactory,org.axonframework.messaging.core.annotation.MessageIdentifierParameterResolverFactory,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory,org.axonframework.messaging.core.annotation.InterceptorChainParameterResolverFactory,org.axonframework.messaging.core.annotation.SimpleResourceParameterResolverFactory,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory",""
"com.fasterxml.jackson.annotation.JsonProperty","Parameter",12,"org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken.<init>(0),org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>(0),org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>(1),org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>(2),org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken.<init>(0),org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken.<init>(1),org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.<init>(0),org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.<init>(1),org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken.<init>(0)",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","Method",9,"io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration.disablePostgresqlConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.disableAxonServerConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationWithConnectionDetails,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.tagsConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.topologyChangeListenerConfigurerModule,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.disableMetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.meterRegistry,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.metricsConfigurationEnhancer",""
"jakarta.persistence.Basic","Field",8,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.type,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.version,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.timestamp,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.payload,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.tokenType,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.timestamp,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.owner,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.mask",""
"org.springframework.boot.autoconfigure.AutoConfiguration","Class",7,"io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration,io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",7,"io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerHealthIndicator,io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerStatusAggregator,io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration.jpaDeadLetterQueueFactory,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration.deadLetterSchema,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration.jdbcDeadLetterQueueFactory,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.meterRegistry,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.metricsConfigurationEnhancer",""
"java.lang.SafeVarargs","Constructor",7,"org.axonframework.test.matchers.ListWithAllOfMatcher.<init>,org.axonframework.test.matchers.ListWithAnyOfMatcher.<init>,org.axonframework.test.matchers.SequenceMatcher.<init>,org.axonframework.test.matchers.ExactSequenceMatcher.<init>,org.axonframework.test.matchers.ListMatcher.<init>,org.axonframework.messaging.core.retry.NonTransientExceptionClassesPredicate.<init>,org.axonframework.messaging.monitoring.MultiMessageMonitor.<init>",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnClass","Class",6,"io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration,io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"org.axonframework.messaging.core.annotation.MessageHandler","Annotation",6,"org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.eventhandling.replay.annotation.ResetHandler,org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptor,org.axonframework.messaging.queryhandling.annotation.QueryHandler",""
"com.fasterxml.jackson.annotation.JsonCreator","Constructor",6,"org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken.<init>,org.axonframework.messaging.core.RemoteExceptionDescription.<init>",""
"java.beans.ConstructorProperties","Constructor",6,"org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken.<init>,org.axonframework.messaging.core.RemoteExceptionDescription.<init>",""
"org.axonframework.common.annotation.Internal","Type",5,"org.axonframework.update.api.UpdateCheckRequest,org.axonframework.update.api.UpdateCheckResponse,org.axonframework.update.api.Artifact,org.axonframework.update.api.ArtifactAvailableUpgrade,org.axonframework.update.api.DetectedVulnerability",""
"org.springframework.boot.context.properties.ConfigurationProperties","Class",5,"io.axoniq.framework.springboot.PostgresqlProperties,io.axoniq.framework.springboot.DeadLetterQueueProcessorProperties,io.axoniq.framework.springboot.TagsConfigurationProperties,org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties,io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration",""
"java.lang.SafeVarargs","Method",5,"org.axonframework.test.matchers.Matchers.listWithAllOf,org.axonframework.test.matchers.Matchers.listWithAnyOf,org.axonframework.test.matchers.Matchers.sequenceOf,org.axonframework.test.matchers.Matchers.exactSequenceOf,org.axonframework.messaging.core.MessageStream.fromItems",""
"org.axonframework.messaging.core.annotation.HasHandlerAttributes","Annotation",5,"org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay,org.axonframework.messaging.core.interception.annotation.ResultHandler,org.axonframework.messaging.core.annotation.MessageHandlerTimeout,org.axonframework.messaging.core.annotation.MessageHandler,org.axonframework.messaging.core.annotation.SequencingPolicy",""
"java.lang.Deprecated","Constructor",4,"org.axonframework.eventsourcing.EventSourcingRepository.<init>,org.axonframework.messaging.commandhandling.GenericCommandResultMessage.<init>,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver$AnnotationSpecification.<init>",""
"org.springframework.boot.context.properties.EnableConfigurationProperties","Class",4,"io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration,io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration,io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"org.axonframework.messaging.core.annotation.Message","Annotation",4,"org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.Event,org.axonframework.messaging.queryhandling.annotation.QueryResponse,org.axonframework.messaging.queryhandling.annotation.Query",""
"jakarta.persistence.Id","Field",3,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.globalIndex,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.processorName,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.segment",""
"jakarta.persistence.Lob","Field",3,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.payload,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.metadata,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.token",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnBean","Class",3,"io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnBean","Method",3,"io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration.jpaDeadLetterQueueFactory,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationWithConnectionDetails,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration.jdbcDeadLetterQueueFactory",""
"org.axonframework.common.annotation.Internal","Field",3,"org.axonframework.modelling.entity.EntityMetamodel.CREATE_WITHOUT_LOAD,org.axonframework.messaging.eventhandling.GenericEventMessage.clock,org.axonframework.messaging.core.sequencing.SequentialPolicy.FULL_SEQUENTIAL_POLICY",""
"com.fasterxml.jackson.annotation.JsonGetter","Method",3,"org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.resetContext,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.lowerSegmentToken,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.upperSegmentToken",""
"jakarta.persistence.Entity","Class",2,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry",""
"jakarta.persistence.Column","Field",2,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.identifier,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.token",""
"org.springframework.boot.autoconfigure.AutoConfigureBefore","Class",2,"io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"java.lang.annotation.Inherited","Annotation",2,"org.axonframework.common.Priority,org.axonframework.messaging.core.annotation.SequencingPolicy",""
"java.lang.Deprecated","Field",2,"io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration.queryResponseThreads,org.axonframework.messaging.eventhandling.GenericEventMessage.clock",""
"org.axonframework.common.annotation.Internal","Annotation",2,"org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.core.annotation.Message",""
"com.fasterxml.jackson.annotation.JsonTypeInfo","Field",2,"org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.tokenAtReset,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.currentToken",""
"com.fasterxml.jackson.annotation.JsonTypeInfo","Method",2,"org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.lowerSegmentToken,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.upperSegmentToken",""
"com.fasterxml.jackson.annotation.JsonIgnore","Method",2,"org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.isLowerSegmentAdvanced,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.isUpperSegmentAdvanced",""
"jakarta.persistence.Table","Class",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry",""
"jakarta.persistence.GeneratedValue","Field",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.globalIndex",""
"jakarta.persistence.SequenceGenerator","Field",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.globalIndex",""
"java.lang.annotation.Repeatable","Annotation",1,"org.axonframework.eventsourcing.annotation.EventTag",""
"org.axonframework.messaging.eventhandling.annotation.EventHandler","Annotation",1,"org.axonframework.eventsourcing.annotation.EventSourcingHandler",""
"org.axonframework.common.annotation.Internal","Enum",1,"org.axonframework.update.api.DetectedVulnerabilitySeverity",""
"org.axonframework.common.annotation.RegistrationScope","Class",1,"org.axonframework.update.UpdateCheckerConfigurationEnhancer",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","Class",1,"io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration",""
"org.axonframework.extension.springboot.util.RegisterDefaultEntities","Class",1,"io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration",""
"org.springframework.lang.Nullable","Parameter",1,"io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.clientName(0)",""
"org.springframework.boot.autoconfigure.AutoConfigureAfter","Class",1,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay","Annotation",1,"org.axonframework.messaging.eventhandling.replay.annotation.DisallowReplay",""
"jakarta.persistence.IdClass","Class",1,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry",""
"java.lang.Deprecated","Class",1,"org.axonframework.messaging.core.unitofwork.LegacyMessageSupportingContext",""
"org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptor","Annotation",1,"org.axonframework.messaging.core.interception.annotation.ExceptionHandler",""
"org.axonframework.messaging.core.interception.annotation.ResultHandler","Annotation",1,"org.axonframework.messaging.core.interception.annotation.ExceptionHandler",""
"org.axonframework.messaging.core.annotation.Namespace","Annotation",1,"org.axonframework.messaging.core.annotation.Message",""
