artifactName,Class,Interface,Annotation,Enum
axon-messaging-5.1.2,61.69154228855721,32.33830845771145,4.643449419568822,1.3266998341625207
axon-common-5.1.2,61.98830409356725,33.33333333333333,1.7543859649122806,2.923976608187134
axon-eventsourcing-5.1.2,60.68376068376068,32.47863247863248,6.837606837606838,0.0
axon-modelling-5.1.2,60.60606060606061,36.36363636363637,3.0303030303030303,0.0
axon-server-connector-5.1.2,76.0,21.333333333333336,0.0,2.666666666666667
axon-test-5.1.2,68.91891891891892,29.72972972972973,1.3513513513513513,0.0
axon-conversion-5.1.2,74.35897435897436,25.64102564102564,0.0,0.0
axoniq-spring-boot-autoconfigure-5.1.2,76.92307692307693,23.076923076923077,0.0,0.0
axon-update-5.1.2,60.86956521739131,34.78260869565217,0.0,4.3478260869565215
axon-metrics-micrometer-5.1.2,84.21052631578947,15.789473684210526,0.0,0.0
axon-tracing-opentelemetry-5.1.2,83.33333333333334,16.666666666666664,0.0,0.0
