"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPotentialOverEngineerOrIsolated.cypher"
"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$1","AggregateBasedJpaEventStorageEngine$1","axon-eventsourcing-5.0.1",1,0.15237033267270722,3,1,2,""
"org.axonframework.common.configuration.DefaultComponentRegistry$1","DefaultComponentRegistry$1","axon-common-5.0.1",1,0.15340504351695533,3,1,2,""
"org.axonframework.common.configuration.DuplicateModuleRegistrationException","DuplicateModuleRegistrationException","axon-common-5.0.1",1,0.15340504351695533,2,1,1,""
"org.axonframework.modelling.entity.WrongPolymorphicEntityTypeException","WrongPolymorphicEntityTypeException","axon-modelling-5.0.1",1,0.15382025971021146,2,1,1,""
"org.axonframework.modelling.RepositoryAlreadyRegisteredException","RepositoryAlreadyRegisteredException","axon-modelling-5.0.1",1,0.15471359671522625,2,1,1,""
"org.axonframework.messaging.core.DelayedMessageStream$Empty","DelayedMessageStream$Empty","axon-messaging-5.0.1",1,0.15487106769403883,4,1,3,""
"org.axonframework.messaging.eventhandling.NoHandlerForEventException","NoHandlerForEventException","axon-messaging-5.0.1",1,0.15514968515002425,2,1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$NoToken","Coordinator$NoToken","axon-messaging-5.0.1",1,0.15539514601269186,3,2,1,""
"org.axonframework.update.detection.KotlinVersion","KotlinVersion","axon-update-5.0.1",1,0.15544860739784974,2,1,1,""
"org.axonframework.messaging.commandhandling.gateway.FutureCommandResult","FutureCommandResult","axon-messaging-5.0.1",1,0.1558277571433203,3,1,2,""
