"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityMaximumKCutId",36,13,"org.axonframework.config.AggregateConfiguration,org.axonframework.messaging.annotation.ClasspathParameterResolverFactory,org.axonframework.messaging.annotation.MultiHandlerDefinition,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityDefinition,org.axonframework.common.AxonNonTransientException,org.axonframework.eventsourcing.eventstore.jpa.SQLStateResolver,org.axonframework.disruptor.commandhandling.FirstLevelCache$1,org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember,org.axonframework.messaging.annotation.ScopeDescriptorParameterResolverFactory,org.axonframework.commandhandling.distributed.AbstractRoutingStrategy,org.axonframework.eventhandling.async.MetaDataSequencingPolicy,org.axonframework.eventhandling.async.PropertySequencingPolicy$1","AggregateConfiguration,ClasspathParameterResolverFactory,MultiHandlerDefinition,CreationPolicy,AggregateMemberAnnotatedChildEntityDefinition,AxonNonTransientException,SQLStateResolver,FirstLevelCache$1,MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember,ScopeDescriptorParameterResolverFactory,AbstractRoutingStrategy,MetaDataSequencingPolicy,PropertySequencingPolicy$1",""
"communityMaximumKCutId",97,14,"org.axonframework.eventsourcing.snapshotting.SnapshotFilter,org.axonframework.common.annotation.AnnotationUtils,org.axonframework.common.lock.PessimisticLockFactory,org.axonframework.axonserver.connector.event.axon.QueryResultStream,org.axonframework.messaging.ExecutionException,org.axonframework.modelling.command.inspection.ChildEntity,org.axonframework.messaging.InterceptorChain,org.axonframework.test.AxonAssertionError,org.axonframework.eventhandling.SequenceNumberParameterResolverFactory,org.axonframework.messaging.annotation.MetaDataValue,org.axonframework.eventhandling.replay.GenericResetContext,org.axonframework.eventhandling.tokenstore.UnableToClaimTokenException,org.axonframework.queryhandling.SinkWrapper,org.axonframework.queryhandling.SimpleQueryBus$SuccessReporter","SnapshotFilter,AnnotationUtils,PessimisticLockFactory,QueryResultStream,ExecutionException,ChildEntity,InterceptorChain,AxonAssertionError,SequenceNumberParameterResolverFactory,MetaDataValue,GenericResetContext,UnableToClaimTokenException,SinkWrapper,SimpleQueryBus$SuccessReporter",""
"communityMaximumKCutId",0,62,"org.axonframework.modelling.command.Repository,org.axonframework.eventhandling.gateway.EventGateway,org.axonframework.commandhandling.SimpleCommandBus$Builder,org.axonframework.eventhandling.SimpleEventBus$Builder,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Builder,org.axonframework.queryhandling.QueryGateway,org.axonframework.messaging.ScopeAwareProvider,org.axonframework.queryhandling.SimpleQueryUpdateEmitter,org.axonframework.deadline.DeadlineManagerSpanFactory,org.axonframework.eventsourcing.AggregateSnapshotter,org.axonframework.modelling.command.DefaultRepositorySpanFactory$Builder,org.axonframework.eventsourcing.DefaultSnapshotterSpanFactory,org.axonframework.eventhandling.DefaultEventBusSpanFactory$Builder,org.axonframework.config.Configurer,org.axonframework.eventhandling.async.SequencingPolicy,org.axonframework.modelling.command.GenericJpaRepository$Builder,org.axonframework.messaging.Distributed,org.axonframework.eventhandling.scheduling.EventScheduler,org.axonframework.eventhandling.EventHandlerInvoker,org.axonframework.eventhandling.DirectEventProcessingStrategy,org.axonframework.eventhandling.PropagatingErrorHandler,org.axonframework.axonserver.connector.AxonServerConfiguration,org.axonframework.springboot.TracingProperties$CommandBusProperties,org.axonframework.springboot.TimeoutProperties$MessageHandlerTimeoutProperties,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue$Builder,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition,org.axonframework.commandhandling.distributed.RoutingStrategy,org.axonframework.serialization.ChainingConverter,org.axonframework.tracing.SpanAttributesProvider,org.axonframework.common.AxonException,org.axonframework.eventhandling.StreamingEventProcessor,org.axonframework.common.ExceptionUtils,org.axonframework.axonserver.connector.query.StreamableFluxResponse,org.axonframework.axonserver.connector.query.StreamableMultiInstanceResponse,org.axonframework.axonserver.connector.DispatchInterceptors,org.axonframework.axonserver.connector.query.AxonServerQueryBus$QueryResponseSpliterator,org.axonframework.serialization.SimpleSerializedObject,org.axonframework.axonserver.connector.event.axon.PersistentStreamConnection$SegmentConnection,org.axonframework.modelling.saga.SagaMethodMessageHandlingMember,org.axonframework.modelling.command.inspection.AbstractChildEntityDefinition,org.axonframework.modelling.command.VersionedAggregateIdentifier,org.axonframework.modelling.saga.repository.jpa.JpaSagaStore$EntryImpl,org.axonframework.eventsourcing.conflictresolution.DefaultConflictResolver,org.axonframework.eventhandling.EventData,org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine,org.axonframework.common.DateTimeUtils,org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadSnapshotDataStatementBuilder,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.tracing.SpanUtils,org.axonframework.test.matchers.MapEntryMatcher,org.axonframework.messaging.annotation.MessageHandler,org.axonframework.messaging.annotation.AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,org.axonframework.commandhandling.distributed.CommandCallbackWrapper,org.axonframework.commandhandling.distributed.CommandBusConnector,org.axonframework.commandhandling.gateway.RetryScheduler,org.axonframework.commandhandling.gateway.RetryingCallback$1,org.axonframework.commandhandling.gateway.AbstractRetryScheduler$Builder,org.axonframework.commandhandling.gateway.CommandGatewayFactory$DispatchOnInvocationHandler,org.axonframework.eventhandling.async.EventProcessorTask$ShutdownCallback,org.axonframework.eventhandling.scheduling.quartz.FireEventJob,org.axonframework.serialization.ChainedConverter$Route,org.axonframework.serialization.json.ByteArrayToJsonNodeConverter","Repository,EventGateway,SimpleCommandBus$Builder,SimpleEventBus$Builder,EmbeddedEventStore$Builder,QueryGateway,ScopeAwareProvider,SimpleQueryUpdateEmitter,DeadlineManagerSpanFactory,AggregateSnapshotter,DefaultRepositorySpanFactory$Builder,DefaultSnapshotterSpanFactory,DefaultEventBusSpanFactory$Builder,Configurer,SequencingPolicy,GenericJpaRepository$Builder,Distributed,EventScheduler,EventHandlerInvoker,DirectEventProcessingStrategy,PropagatingErrorHandler,AxonServerConfiguration,TracingProperties$CommandBusProperties,TimeoutProperties$MessageHandlerTimeoutProperties,JpaSequencedDeadLetterQueue$Builder,XStreamAutoConfiguration$XStreamConfiguredCondition,RoutingStrategy,ChainingConverter,SpanAttributesProvider,AxonException,StreamingEventProcessor,ExceptionUtils,StreamableFluxResponse,StreamableMultiInstanceResponse,DispatchInterceptors,AxonServerQueryBus$QueryResponseSpliterator,SimpleSerializedObject,PersistentStreamConnection$SegmentConnection,SagaMethodMessageHandlingMember,AbstractChildEntityDefinition,VersionedAggregateIdentifier,JpaSagaStore$EntryImpl,DefaultConflictResolver,EventData,BatchingEventStorageEngine,DateTimeUtils,ReadSnapshotDataStatementBuilder,DisruptorCommandBus$FailureLoggingCommandCallback,SpanUtils,MapEntryMatcher,MessageHandler,AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,CommandCallbackWrapper,CommandBusConnector,RetryScheduler,RetryingCallback$1,AbstractRetryScheduler$Builder,CommandGatewayFactory$DispatchOnInvocationHandler,EventProcessorTask$ShutdownCallback,FireEventJob,ChainedConverter$Route,ByteArrayToJsonNodeConverter",""
"communityMaximumKCutId",26,19,"org.axonframework.eventsourcing.AggregateFactory,org.axonframework.serialization.xml.XStreamSerializer,org.axonframework.config.MessageMonitorFactoryBuilder,org.axonframework.config.EventProcessingModule,org.axonframework.springboot.service.connection.AxonServerConnectionDetails,org.axonframework.springboot.EventProcessorProperties,org.axonframework.axonserver.connector.query.QueryPriorityCalculator,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.axonserver.connector.Handlers,org.axonframework.modelling.saga.AssociationResolver,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.messaging.annotation.MessageIdentifierParameterResolverFactory$MessageIdentifierParameterResolver,org.axonframework.common.caching.WeakReferenceCache$Entry,org.axonframework.common.stream.StreamUtils$1,org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.async.AsynchronousEventProcessingStrategy$NoActionCallback,org.axonframework.eventhandling.scheduling.SchedulingException,org.axonframework.messaging.responsetypes.AbstractResponseType,org.axonframework.serialization.upcasting.event.ContextAwareSingleEventUpcaster","AggregateFactory,XStreamSerializer,MessageMonitorFactoryBuilder,EventProcessingModule,AxonServerConnectionDetails,EventProcessorProperties,QueryPriorityCalculator,NoOpTransactionAutoConfiguration,Handlers,AssociationResolver,SagaEntry,MessageIdentifierParameterResolverFactory$MessageIdentifierParameterResolver,WeakReferenceCache$Entry,StreamUtils$1,AbstractDomainEventEntry,AsynchronousEventProcessingStrategy$NoActionCallback,SchedulingException,AbstractResponseType,ContextAwareSingleEventUpcaster",""
"communityMaximumKCutId",84,19,"org.axonframework.config.ModuleConfiguration,org.axonframework.commandhandling.DuplicateCommandHandlerResolver,org.axonframework.lifecycle.StartHandler,org.axonframework.deadline.dbscheduler.DbSchedulerBinaryDeadlineDetails,org.axonframework.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.messaging.HandlerExecutionException,org.axonframework.axonserver.connector.query.AxonServerQueryBus$LocalSegmentAdapter$1,org.axonframework.messaging.annotation.MessageHandlingMember,org.axonframework.modelling.command.inspection.ForwardingCommandMessageHandlingMember,org.axonframework.modelling.saga.repository.jdbc.SagaSchema,org.axonframework.eventsourcing.EventSourcedAggregate,org.axonframework.eventsourcing.AbstractSnapshotter$1,org.axonframework.disruptor.commandhandling.CommandHandlingEntry,org.axonframework.messaging.unitofwork.AbstractUnitOfWork,org.axonframework.test.matchers.ListWithAllOfMatcher,org.axonframework.serialization.SerializedObjectHolder,org.axonframework.eventhandling.scheduling.quartz.EventJobDataBinder,org.axonframework.serialization.avro.ByteArrayToGenericRecordConverter,org.axonframework.tracing.MultiSpanFactory","ModuleConfiguration,DuplicateCommandHandlerResolver,StartHandler,DbSchedulerBinaryDeadlineDetails,ConditionalOnMissingQualifiedBean,HandlerExecutionException,AxonServerQueryBus$LocalSegmentAdapter$1,MessageHandlingMember,ForwardingCommandMessageHandlingMember,SagaSchema,EventSourcedAggregate,AbstractSnapshotter$1,CommandHandlingEntry,AbstractUnitOfWork,ListWithAllOfMatcher,SerializedObjectHolder,EventJobDataBinder,ByteArrayToGenericRecordConverter,MultiSpanFactory",""
"communityMaximumKCutId",33,10,"org.axonframework.config.Configuration,org.axonframework.eventhandling.SimpleEventBus,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine$Builder,org.axonframework.queryhandling.SubscriptionQueryUpdateMessage,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel,org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory,org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$Builder,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventProducer,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter,org.axonframework.messaging.deadletter.NoSuchDeadLetterException","Configuration,SimpleEventBus,JpaEventStorageEngine$Builder,SubscriptionQueryUpdateMessage,AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel,NoArgumentConstructorCreationPolicyAggregateFactory,EventSchema$Builder,EmbeddedEventStore$EventProducer,OrCommandMessageFilter,NoSuchDeadLetterException",""
"communityMaximumKCutId",81,21,"org.axonframework.config.DefaultConfigurer,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration,org.axonframework.messaging.timeout.HandlerTimeoutHandlerEnhancerDefinition,org.axonframework.axonserver.connector.util.ExceptionSerializer,org.axonframework.axonserver.connector.command.AxonServerNonTransientRemoteCommandHandlingException,org.axonframework.common.StringUtils,org.axonframework.axonserver.connector.heartbeat.HeartbeatMonitor,org.axonframework.axonserver.connector.event.axon.AxonServerEventStore$1,org.axonframework.modelling.command.inspection.CreationPolicyMember,org.axonframework.eventsourcing.SnapshotTrigger,org.axonframework.eventsourcing.AggregateDeletedException,org.axonframework.eventhandling.MultiStreamableMessageSource,org.axonframework.disruptor.commandhandling.CommandHandlingEntry$RepeatingCommandHandler,org.axonframework.test.saga.SagaTestFixture$StubAwareCommandGatewayFactory,org.axonframework.commandhandling.WrappedCommandCallback,org.axonframework.commandhandling.gateway.CommandGatewayFactory$WaitForResultWithFixedTimeout,org.axonframework.commandhandling.gateway.CommandGatewayFactory$MetaDataExtractor,org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManagerSupplier,org.axonframework.eventhandling.scheduling.dbscheduler.EventSchedulerNotSuppliedException,org.axonframework.eventhandling.tokenstore.inmemory.InMemoryTokenStore$ProcessAndSegment,org.axonframework.monitoring.MultiMessageMonitor$1","DefaultConfigurer,JpaJavaxEventStoreAutoConfiguration,HandlerTimeoutHandlerEnhancerDefinition,ExceptionSerializer,AxonServerNonTransientRemoteCommandHandlingException,StringUtils,HeartbeatMonitor,AxonServerEventStore$1,CreationPolicyMember,SnapshotTrigger,AggregateDeletedException,MultiStreamableMessageSource,CommandHandlingEntry$RepeatingCommandHandler,SagaTestFixture$StubAwareCommandGatewayFactory,WrappedCommandCallback,CommandGatewayFactory$WaitForResultWithFixedTimeout,CommandGatewayFactory$MetaDataExtractor,DbSchedulerDeadlineManagerSupplier,EventSchedulerNotSuppliedException,InMemoryTokenStore$ProcessAndSegment,MultiMessageMonitor$1",""
"communityMaximumKCutId",72,17,"org.axonframework.modelling.command.RepositorySpanFactory,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore$Builder,org.axonframework.axonserver.connector.util.GrpcMetadataSerializer,org.axonframework.tracing.NoOpSpanFactory$NoOpSpan,org.axonframework.eventhandling.AbstractEventBus$Builder,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.ApplyMore,org.axonframework.modelling.command.inspection.AggregateModellingException,org.axonframework.modelling.saga.repository.AssociationValueMap$1,org.axonframework.test.aggregate.AggregateTestFixture,org.axonframework.commandhandling.distributed.SimpleMember,org.axonframework.commandhandling.gateway.CommandGatewayFactory$1,org.axonframework.serialization.xml.Dom4JToByteArrayConverter,org.axonframework.eventhandling.pooled.WorkPackage$1,org.axonframework.messaging.deadletter.InMemorySequencedDeadLetterQueue$Builder,org.axonframework.messaging.timeout.TimeoutWrappedMessageHandlingMember,org.axonframework.queryhandling.GenericQueryMessage","RepositorySpanFactory,JpaTokenStore$Builder,GrpcMetadataSerializer,NoOpSpanFactory$NoOpSpan,AbstractEventBus$Builder,AggregateVersion,ApplyMore,AggregateModellingException,AssociationValueMap$1,AggregateTestFixture,SimpleMember,CommandGatewayFactory$1,Dom4JToByteArrayConverter,WorkPackage$1,InMemorySequencedDeadLetterQueue$Builder,TimeoutWrappedMessageHandlingMember,GenericQueryMessage",""
"communityMaximumKCutId",17,14,"org.axonframework.commandhandling.DefaultCommandBusSpanFactory,org.axonframework.config.EventProcessingModule$1,org.axonframework.springboot.service.connection.AxonServerTestContainerConnectionDetailsFactory,org.axonframework.springboot.TimeoutProperties,org.axonframework.messaging.RemoteExceptionDescription,org.axonframework.commandhandling.NoHandlerForCommandException,org.axonframework.axonserver.connector.query.QueryProcessingTask,org.axonframework.axonserver.connector.event.axon.EventBuffer,org.axonframework.messaging.annotation.AnnotatedHandlerInspector,org.axonframework.test.matchers.EmptyCollectionMatcher,org.axonframework.commandhandling.gateway.CommandGatewayFactory$FireAndForget,org.axonframework.deadline.jobrunr.LabelUtils,org.axonframework.eventhandling.tokenstore.UnableToInitializeTokenException,org.axonframework.eventhandling.pooled.Coordinator","DefaultCommandBusSpanFactory,EventProcessingModule$1,AxonServerTestContainerConnectionDetailsFactory,TimeoutProperties,RemoteExceptionDescription,NoHandlerForCommandException,QueryProcessingTask,EventBuffer,AnnotatedHandlerInspector,EmptyCollectionMatcher,CommandGatewayFactory$FireAndForget,LabelUtils,UnableToInitializeTokenException,Coordinator",""
"communityMaximumKCutId",80,13,"org.axonframework.commandhandling.gateway.CommandGateway,org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker$Builder,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine,org.axonframework.springboot.TracingProperties$RepositoryProperties,org.axonframework.axonserver.connector.util.GrpcMetaData,org.axonframework.modelling.saga.Saga,org.axonframework.messaging.unitofwork.ExecutionResult,org.axonframework.test.saga.GivenAggregateEventPublisher,org.axonframework.test.saga.CommandValidator,org.axonframework.test.aggregate.ResultValidator,org.axonframework.eventhandling.replay.ReplayContext,org.axonframework.commandhandling.gateway.CommandGatewayFactory$TypeSafeCallbackWrapper","CommandGateway,DeadLetteringEventHandlerInvoker$Builder,AxonDbSchedulerAutoConfiguration,JdbcEventStorageEngine,TracingProperties$RepositoryProperties,GrpcMetaData,Saga,ExecutionResult,GivenAggregateEventPublisher,CommandValidator,ResultValidator,ReplayContext,CommandGatewayFactory$TypeSafeCallbackWrapper",""
"communityMaximumKCutId",74,13,"org.axonframework.common.jdbc.PersistenceExceptionResolver,org.axonframework.serialization.upcasting.event.EventUpcaster,org.axonframework.modelling.saga.DefaultSagaManagerSpanFactory$Builder,org.axonframework.config.AxonIQConsoleModule,org.axonframework.axonserver.connector.query.AxonServerQueryDispatchException,org.axonframework.tracing.Span,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.test.saga.SagaTestFixture$AggregateEventPublisherImpl,org.axonframework.test.aggregate.StubAggregateLifecycleRule,org.axonframework.common.legacyjpa.PagingJpaQueryIterable$PagingIterator,org.axonframework.messaging.Headers,org.axonframework.serialization.upcasting.SingleEntryMultiUpcaster","PersistenceExceptionResolver,EventUpcaster,DefaultSagaManagerSpanFactory$Builder,AxonIQConsoleModule,AxonServerQueryDispatchException,Span,AssociationValueEntry,DisruptorCommandBus$ExceptionHandler,SagaTestFixture$AggregateEventPublisherImpl,StubAggregateLifecycleRule,PagingJpaQueryIterable$PagingIterator,Headers,SingleEntryMultiUpcaster",""
"communityMaximumKCutId",6,13,"org.axonframework.serialization.Serializer,org.axonframework.config.DefaultConfigurer$LifecycleState,org.axonframework.config.LifecycleHandlerInspector$LifecycleRegistration,org.axonframework.axonserver.connector.DefaultHandlers,org.axonframework.messaging.responsetypes.InstanceResponseType,org.axonframework.axonserver.connector.event.axon.GrpcBackedDomainEventData,org.axonframework.eventhandling.TrackingEventStream,org.axonframework.eventsourcing.EventCountSnapshotTriggerDefinition,org.axonframework.test.matchers.MapEntryMatcher$Matching,org.axonframework.messaging.annotation.ResultParameterResolverFactory$ExceptionResultParameterResolver,org.axonframework.common.caching.EhCacheAdapter,org.axonframework.eventhandling.pooled.WorkPackage$ProcessingEntry,org.axonframework.messaging.correlation.MultiCorrelationDataProvider","Serializer,DefaultConfigurer$LifecycleState,LifecycleHandlerInspector$LifecycleRegistration,DefaultHandlers,InstanceResponseType,GrpcBackedDomainEventData,TrackingEventStream,EventCountSnapshotTriggerDefinition,MapEntryMatcher$Matching,ResultParameterResolverFactory$ExceptionResultParameterResolver,EhCacheAdapter,WorkPackage$ProcessingEntry,MultiCorrelationDataProvider",""
"communityMaximumKCutId",88,12,"org.axonframework.eventhandling.tokenstore.TokenStore,org.axonframework.messaging.annotation.MultiHandlerEnhancerDefinition,org.axonframework.eventhandling.EventBusSpanFactory,org.axonframework.modelling.saga.repository.SagaStore,org.axonframework.eventhandling.gateway.DefaultEventGateway$Builder,org.axonframework.axonserver.connector.command.CommandLoadFactorProvider,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateCreateOrUpdateCommandHandler,org.axonframework.commandhandling.distributed.Member,org.axonframework.serialization.CachingSupplier,org.axonframework.eventhandling.TransactionMethodExecutionException,org.axonframework.eventhandling.deadletter.legacyjpa.EventMessageDeadLetterJpaConverter","TokenStore,MultiHandlerEnhancerDefinition,EventBusSpanFactory,SagaStore,DefaultEventGateway$Builder,CommandLoadFactorProvider,JpaSequencedDeadLetterQueue,AggregateAnnotationCommandHandler$AggregateCreateOrUpdateCommandHandler,Member,CachingSupplier,TransactionMethodExecutionException,EventMessageDeadLetterJpaConverter",""
"communityMaximumKCutId",52,24,"org.axonframework.tracing.NoOpSpanFactory,org.axonframework.commandhandling.LoggingDuplicateCommandHandlerResolver,org.axonframework.deadline.DefaultDeadlineManagerSpanFactory,org.axonframework.config.Configuration$1,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine,org.axonframework.axonserver.connector.TargetContextResolver,org.axonframework.modelling.saga.repository.jdbc.GenericSagaSqlSchema,org.axonframework.messaging.timeout.UnitOfWorkTimeoutInterceptor,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$GeneralDefaultCondition,org.axonframework.springboot.autoconfig.SecurityAutoConfiguration,org.axonframework.util.ClasspathResolver,org.axonframework.modelling.command.AggregateLifecycle,org.axonframework.modelling.command.inspection.AnnotatedCommandHandlerInterceptor,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine$1,org.axonframework.messaging.unitofwork.MessageProcessingContext,org.axonframework.test.saga.EventValidator,org.axonframework.test.eventscheduler.ScheduledItem,org.axonframework.commandhandling.distributed.DistributedCommandBus,org.axonframework.deadline.dbscheduler.DeadlineManagerNotSuppliedException,org.axonframework.eventhandling.async.AsynchronousEventProcessingStrategy$SchedulerCleanUp,org.axonframework.eventhandling.interceptors.EventLoggingInterceptor,org.axonframework.eventhandling.tokenstore.ConfigToken,org.axonframework.eventhandling.scheduling.quartz.QuartzScheduleToken,org.axonframework.serialization.FixedValueRevisionResolver","NoOpSpanFactory,LoggingDuplicateCommandHandlerResolver,DefaultDeadlineManagerSpanFactory,Configuration$1,JpaEventStorageEngine,TargetContextResolver,GenericSagaSqlSchema,UnitOfWorkTimeoutInterceptor,XStreamAutoConfiguration$XStreamConfiguredCondition$GeneralDefaultCondition,SecurityAutoConfiguration,ClasspathResolver,AggregateLifecycle,AnnotatedCommandHandlerInterceptor,JdbcEventStorageEngine$1,MessageProcessingContext,EventValidator,ScheduledItem,DistributedCommandBus,DeadlineManagerNotSuppliedException,AsynchronousEventProcessingStrategy$SchedulerCleanUp,EventLoggingInterceptor,ConfigToken,QuartzScheduleToken,FixedValueRevisionResolver",""
"communityMaximumKCutId",60,15,"org.axonframework.commandhandling.SimpleCommandBus,org.axonframework.queryhandling.QueryInvocationErrorHandler,org.axonframework.messaging.unitofwork.RollbackConfigurationType,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerBinaryEventData,org.axonframework.axonserver.connector.command.CommandSerializer,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition,org.axonframework.messaging.Scope,org.axonframework.modelling.saga.AssociationValue,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.commandhandling.MethodCommandHandlerDefinition,org.axonframework.serialization.converters.InputStreamToByteArrayConverter,org.axonframework.commandhandling.callbacks.FailureLoggingCallback,org.axonframework.common.caching.EhCache3Adapter","SimpleCommandBus,QueryInvocationErrorHandler,RollbackConfigurationType,JpaSequencedDeadLetterQueue,DbSchedulerBinaryEventData,CommandSerializer,MethodCreationPolicyDefinition,Scope,AssociationValue,AbstractSnapshotEventEntry,PayloadsMatcher,MethodCommandHandlerDefinition,InputStreamToByteArrayConverter,FailureLoggingCallback,EhCache3Adapter",""
"communityMaximumKCutId",5,11,"org.axonframework.modelling.command.DefaultRepositorySpanFactory,org.axonframework.messaging.Message,org.axonframework.lifecycle.Lifecycle$LifecycleRegistry,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue$Builder,org.axonframework.axonserver.connector.util.ContextAddingInterceptor$1,org.axonframework.common.stream.BlockingStream,org.axonframework.test.eventscheduler.StubEventScheduler,org.axonframework.common.caching.EhCache3Adapter$CacheEventListenerAdapter,org.axonframework.deadline.annotation.DeadlineHandlingMember,org.axonframework.messaging.NoScopeDescriptor,org.axonframework.serialization.avro.DefaultSchemaIncompatibilityChecker","DefaultRepositorySpanFactory,Message,Lifecycle$LifecycleRegistry,JpaSequencedDeadLetterQueue$Builder,ContextAddingInterceptor$1,BlockingStream,StubEventScheduler,EhCache3Adapter$CacheEventListenerAdapter,DeadlineHandlingMember,NoScopeDescriptor,DefaultSchemaIncompatibilityChecker",""
"communityMaximumKCutId",59,11,"org.axonframework.eventsourcing.eventstore.EventStorageEngine,org.axonframework.common.IdentifierFactory,org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor,org.axonframework.axonserver.connector.command.CommandPriorityCalculator,org.axonframework.axonserver.connector.query.AxonServerQueryBus$1,org.axonframework.eventhandling.GlobalSequenceTrackingToken,org.axonframework.eventsourcing.eventstore.jdbc.HsqlEventTableFactory,org.axonframework.eventhandling.EventProcessingException,org.axonframework.messaging.deadletter.GenericDeadLetter,org.axonframework.eventhandling.deadletter.jdbc.GenericDeadLetterTableFactory,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$Builder","EventStorageEngine,IdentifierFactory,PooledStreamingEventProcessor,CommandPriorityCalculator,AxonServerQueryBus$1,GlobalSequenceTrackingToken,HsqlEventTableFactory,EventProcessingException,GenericDeadLetter,GenericDeadLetterTableFactory,QuartzEventScheduler$Builder",""
"communityMaximumKCutId",29,13,"org.axonframework.queryhandling.SimpleQueryUpdateEmitter$Builder,org.axonframework.queryhandling.QueryUpdateEmitter,org.axonframework.modelling.saga.SagaRepository,org.axonframework.tracing.TracingHandlerEnhancerDefinition$Builder,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration,org.axonframework.axonserver.connector.query.AxonServerQueryBus$ResponseProcessingTask,org.axonframework.modelling.saga.repository.AssociationValueMap$SagaAssociationValue,org.axonframework.modelling.saga.repository.LockingSagaRepository$Builder,org.axonframework.eventsourcing.AbstractSnapshotter$SilentTask,org.axonframework.common.caching.NoCache,org.axonframework.test.aggregate.ResultValidatorImpl,org.axonframework.deadline.AbstractDeadlineManager,org.axonframework.serialization.upcasting.event.EventTypeUpcaster$Builder","SimpleQueryUpdateEmitter$Builder,QueryUpdateEmitter,SagaRepository,TracingHandlerEnhancerDefinition$Builder,InterceptorAutoConfiguration,AxonServerQueryBus$ResponseProcessingTask,AssociationValueMap$SagaAssociationValue,LockingSagaRepository$Builder,AbstractSnapshotter$SilentTask,NoCache,ResultValidatorImpl,AbstractDeadlineManager,EventTypeUpcaster$Builder",""
