"artifactName","deprecatedElementType","elementUsingDeprecatedElement","deprecatedElement","Source Cypher File: domains/java/queries/java-code-quality/Java_deprecated_element_usage_detailed.cypher"
"axon-eventsourcing-5.1.2","Field","org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations.gapTimeoutThreshold","java.time.Clock clock",""
"axon-eventsourcing-5.1.2","Field","org.axonframework.eventsourcing.handler.SnapshottingEntityLifecycleHandler.storeSnapshot","java.time.Clock clock",""
"axon-messaging-5.1.2","Method","org.axonframework.messaging.core.annotation.ChainedMessageHandlerInterceptorMember.doHandleSync","java.lang.Object handleSync(org.axonframework.messaging.core.Message,org.axonframework.messaging.core.unitofwork.ProcessingContext,java.lang.Object)",""
"axon-messaging-5.1.2","Method","org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember.handleSync","java.lang.Object handleSync(org.axonframework.messaging.core.Message,org.axonframework.messaging.core.unitofwork.ProcessingContext,java.lang.Object)",""
"axon-messaging-5.1.2","Class","org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain","org.axonframework.messaging.core.unitofwork.LegacyMessageSupportingContext",""
"axon-messaging-5.1.2","Method","org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain.handle","java.lang.Object handleSync(org.axonframework.messaging.core.Message,org.axonframework.messaging.core.unitofwork.ProcessingContext,java.lang.Object,org.axonframework.messaging.core.annotation.MessageHandlingMember)",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.GenericEventMessage.<init>","java.time.Clock clock",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.gateway.EventPublishingUtils.lambda$asEventMessage$0","java.time.Clock clock",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.gateway.EventPublishingUtils.lambda$asEventMessage$1","java.time.Clock clock",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$Builder.<init>","java.time.Clock clock",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$CoordinationTask.lambda$releaseSegmentsIfTooManyClaimed$13","java.time.Clock clock",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor.releaseSegment","java.time.Clock clock",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration.<init>","java.time.Clock clock",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration.<init>","java.time.Clock clock",""
"axon-messaging-5.1.2","Field","org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$Builder.<init>","java.time.Clock clock",""
"axon-server-connector-5.1.2","Method","io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine.aggregateSourceForCriterion","org.axonframework.eventsourcing.eventstore.Position start()",""
"axon-server-connector-5.1.2","Method","io.axoniq.framework.axonserver.connector.event.ConditionConverter.convertSourcingCondition","org.axonframework.eventsourcing.eventstore.Position start()",""
