"projectName","fullQualifiedModuleName","moduleName","instability","instabilityAbstractTypes","instabilityModules","instabilityPackages","module.outgoingDependencies","module.incomingDependencies","module.outgoingDependentAbstractTypes","module.incomingDependentAbstractTypes","module.outgoingDependentModules","module.incomingDependentModules","module.outgoingDependentPackages","module.incomingDependentPackages","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Instability_for_Typescript.cypher"
"create-react-router","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/create-react-router/package.json","package",0,0,0,0,0,0,0,0,0,0,0,0,""
"create-react-router","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/create-react-router/tsup.config.ts","tsup",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-architect","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-architect/__tests__/binaryTypes-test.ts","binaryTypes-test",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-architect","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-architect/binaryTypes.ts","binaryTypes",0,0,0,0,0,1,0,0,0,1,0,1,""
"react-router-architect","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-architect/index.ts","react-router-architect",0,0,0,0,0,3,0,2,0,1,0,1,""
"react-router-architect","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-architect/tsup.config.ts","tsup",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-cloudflare","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-cloudflare/index.ts","react-router-cloudflare",0,0,0,0,0,5,0,3,0,1,0,1,""
"react-router-cloudflare","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-cloudflare/tsup.config.ts","tsup",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/cli/index.ts","cli",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/config.ts","config",0,0,0,0,0,5,0,5,0,2,0,1,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/config/format.ts","format",0,0,0,0,0,1,0,0,0,1,0,1,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/invariant.ts","invariant",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/manifest.ts","manifest",0,0,0,0,0,2,0,2,0,1,0,1,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/package.json","package",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/routes.ts","routes",0,0,0,0,0,9,0,3,0,2,0,1,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/rsc-types.d.ts","rsc-types",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/tsup.config.ts","tsup",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/typegen/context.ts","context",0,0,0,0,0,3,0,2,0,2,0,1,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/typegen/params.ts","params",0,0,0,0,0,1,0,0,0,1,0,1,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/typegen/route.ts","route",0,0,0,0,0,2,0,0,0,1,0,1,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/vite.ts","vite",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/vite/cache.ts","cache",0,0,0,0,0,4,0,3,0,3,0,1,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/vite/cloudflare.ts","cloudflare",0,0,0,0,0,0,0,0,0,0,0,0,""
"react-router-dev","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/vite/combine-urls.ts","combine-urls",0,0,0,0,0,1,0,0,0,1,0,1,""
