"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-common-5.1.0",,,false,,,1,774,118,98,23,12,8,"/org/axonframework/common/annotation -> /org/axonframework/common,/org/axonframework/common/jdbc -> /org/axonframework/common,/org/axonframework/common/property -> /org/axonframework/common,/org/axonframework/common/caching -> /org/axonframework/common","axon-common-5.1.0 -> axon-common-5.1.0","",""
"axon-common-5.1.0",,,false,,,2,969,108,80,3,2,3,"/org/axonframework/common/tx -> /org/axonframework/common,/org/axonframework/common/infra -> /org/axonframework/common/annotation,/org/axonframework/common/infra -> /org/axonframework/common/lifecycle","axon-common-5.1.0 -> axon-common-5.1.0","",""
"axon-conversion-5.1.0",,,false,,,1,774,118,98,4,4,1,"/org/axonframework/conversion/jackson -> /org/axonframework/conversion,/org/axonframework/conversion/converter -> /org/axonframework/conversion,/org/axonframework/conversion/jackson2 -> /org/axonframework/conversion,/org/axonframework/conversion/avro -> /org/axonframework/conversion","axon-conversion-5.1.0 -> axon-conversion-5.1.0","",""
"axon-conversion-5.1.0",,,true,,,1,774,118,98,10,4,3,"/org/axonframework/conversion -> /org/axonframework/common,/org/axonframework/conversion/avro -> /org/axonframework/common,/org/axonframework/conversion -> /org/axonframework/common/annotation,/org/axonframework/conversion/jackson -> /org/axonframework/common/annotation","axon-conversion-5.1.0 -> axon-common-5.1.0","",""
"axon-conversion-5.1.0",,,true,,,2,969,108,80,9,5,4,"/org/axonframework/conversion/jackson -> /org/axonframework/common,/org/axonframework/conversion/converter -> /org/axonframework/common,/org/axonframework/conversion/jackson2 -> /org/axonframework/common,/org/axonframework/conversion/converter -> /org/axonframework/common/annotation","axon-conversion-5.1.0 -> axon-common-5.1.0","",""
"axon-conversion-5.1.0",,,true,,,3,947,100,64,5,5,2,"/org/axonframework/conversion -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/jackson -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/jackson2 -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/avro -> /org/axonframework/common/lifecycle","axon-conversion-5.1.0 -> axon-common-5.1.0","",""
"axon-conversion-5.1.0",,,true,,,4,614,94,51,1,1,1,"/org/axonframework/conversion/converter -> /org/axonframework/common/lifecycle","axon-conversion-5.1.0 -> axon-common-5.1.0","",""
"axon-eventsourcing-5.1.0",,,false,,,1,774,118,98,24,11,8,"/org/axonframework/eventsourcing/annotation -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/handler -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing","axon-eventsourcing-5.1.0 -> axon-eventsourcing-5.1.0","",""
"axon-eventsourcing-5.1.0",,,false,,,2,969,108,80,15,11,6,"/org/axonframework/eventsourcing/eventstore -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/snapshot/store -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/snapshot/api -> /org/axonframework/eventsourcing/annotation","axon-eventsourcing-5.1.0 -> axon-eventsourcing-5.1.0","",""
"axon-eventsourcing-5.1.0",,,false,,,3,947,100,64,14,10,5,"/org/axonframework/eventsourcing/snapshot/store -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/snapshot/api -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing","axon-eventsourcing-5.1.0 -> axon-eventsourcing-5.1.0","",""
