"artifactName","leidenCommunityId","artifactPackages","artifactTypes","numberOfExternalPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","top10ExternalPackageNamesByUsageDescending","somePackageNames","someTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_package_aggregated.cypher"
"axon-messaging-5.0.1",0,57,570,7,1,14,1,3.714285714285714,4.785891965429423,1.7543859649122806,24.561403508771928,1.7543859649122806,6.516290726817043,8.396301693735829,2,30,2,7.428571428571428,10.244626930854093,0.3508771929824561,5.263157894736842,0.3508771929824561,1.3032581453634084,1.7973029703252792,"org.slf4j,reactor.core.publisher,org.reactivestreams,com.fasterxml.jackson.annotation,jakarta.persistence,reactor.util.concurrent,jakarta.validation","org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.distributed,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.queryhandling","org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBus$DistributedHandler,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBus,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.pooled.CoordinatorTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator",""
"axon-server-connector-5.0.1",0,5,72,20,1,5,1,1.9,1.3337718577107003,20,100,20,38,26.675437154214006,1,18,3.5,5.199999999999999,4.8406176204456,1.3888888888888888,25,4.861111111111111,7.222222222222222,6.723080028396667,"io.axoniq.axonserver.grpc,io.axoniq.axonserver.connector,org.slf4j,com.google.protobuf,io.grpc,io.axoniq.axonserver.grpc.control,io.axoniq.axonserver.connector.control,io.grpc.stub,io.grpc.netty.shaded.io.netty.handler.ssl","org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.util,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.event,org.axonframework.axonserver.connector.command","org.axonframework.axonserver.connector.ErrorCode$ExceptionBuilder,org.axonframework.axonserver.connector.AxonServerException,org.axonframework.axonserver.connector.DefaultInstructionAckSource,org.axonframework.axonserver.connector.MetadataConverter$1,org.axonframework.axonserver.connector.MetadataConverter,org.axonframework.axonserver.connector.InstructionAckSource,org.axonframework.axonserver.connector.ErrorCode,org.axonframework.axonserver.connector.util.ProcessingInstructionUtils,org.axonframework.axonserver.connector.util.ExceptionConverter",""
"axon-common-5.0.1",0,13,150,10,1,4,1,1.2999999999999998,0.9486832980505138,7.6923076923076925,30.76923076923077,7.6923076923076925,10,7.2975638311578,1,8,1,2.1,2.183269719175042,0.6666666666666666,5.333333333333333,0.6666666666666666,1.4,1.4555131461166948,"org.slf4j,org.ehcache.event,javax.cache.configuration,javax.cache,javax.cache.event,org.ehcache.core,org.ehcache.config,com.fasterxml.jackson.databind,com.fasterxml.jackson.databind.node","org.axonframework.common,org.axonframework.common.property,org.axonframework.common.lifecycle,org.axonframework.common.configuration","org.axonframework.common.TypeReflectionUtils$VarMap,org.axonframework.common.IdentifierFactory,org.axonframework.common.TypeReflectionUtils,org.axonframework.common.property.AbstractMethodPropertyAccessStrategy,org.axonframework.common.lifecycle.ShutdownLatch,org.axonframework.common.configuration.DefaultAxonApplication$AxonConfigurationImpl,org.axonframework.common.configuration.DefaultComponentRegistry,org.axonframework.common.configuration.DefaultAxonApplication",""
"axon-conversion-5.0.1",0,4,30,10,1,3,1,1.2000000000000002,0.6324555320336759,25,75,25,30,15.811388300841896,1,6,2.5,3.1000000000000005,2.024845673131659,3.3333333333333335,20,8.333333333333334,10.333333333333334,6.749485577105529,"org.slf4j,org.apache.avro.message,org.apache.avro.specific,org.apache.avro,org.apache.avro.generic,org.apache.commons.lang3.tuple,org.apache.avro.io,com.fasterxml.jackson.core,com.fasterxml.jackson.databind","org.axonframework.conversion,org.axonframework.conversion.avro,org.axonframework.conversion.json","org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.json.JacksonConverter",""
"axon-modelling-5.0.1",0,7,93,1,3,3,3,3,0,42.85714285714286,42.85714285714286,42.85714285714286,42.85714285714286,0,3,3,3,3,0,3.225806451612903,3.225806451612903,3.225806451612903,3.225806451612903,0,"org.slf4j","org.axonframework.modelling,org.axonframework.modelling.entity.annotation,org.axonframework.modelling.repository","org.axonframework.modelling.SimpleEntityEvolvingComponent,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel,org.axonframework.modelling.repository.AccessSerializingRepository",""
"axon-spring-boot-autoconfigure-5.0.1",0,7,70,31,1,3,1,1.2903225806451617,0.528743692608355,14.285714285714286,42.85714285714286,14.285714285714286,18.43317972350231,7.5534813229764985,1,7,2,2.1935483870967736,1.5366490564148483,1.4285714285714286,10,2.857142857142857,3.1336405529953923,2.1952129377354987,"org.springframework.boot.actuate.health,org.axonframework.extension.spring.config,org.slf4j,jakarta.persistence,org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.core.type,org.springframework.boot.autoconfigure,org.springframework.boot.testcontainers.service.connection","org.axonframework.extension.springboot.actuator,org.axonframework.extension.springboot.actuator.axonserver,org.axonframework.extension.springboot.autoconfig","org.axonframework.extension.springboot.actuator.HealthStatus,org.axonframework.extension.springboot.actuator.axonserver.AxonServerHealthIndicator,org.axonframework.extension.springboot.actuator.axonserver.AxonServerStatusAggregator,org.axonframework.extension.springboot.autoconfig.AxonServerActuatorAutoConfiguration",""
"axon-test-5.0.1",0,5,73,9,1,3,1,1.2222222222222223,0.6666666666666666,20,60,20,24.444444444444443,13.333333333333334,1,22,1,3.3333333333333335,7,1.36986301369863,30.136986301369863,1.36986301369863,4.5662100456621015,9.589041095890412,"org.hamcrest,org.awaitility.core,org.awaitility,org.testcontainers.containers.wait.strategy,org.testcontainers.containers,org.testcontainers.utility,com.google.gson,org.junit.jupiter.api,org.slf4j","org.axonframework.test.fixture,org.axonframework.test.util,org.axonframework.test.matchers","org.axonframework.test.fixture.Reporter,org.axonframework.test.fixture.AxonTestThenEvent,org.axonframework.test.fixture.AxonTestThenCommand,org.axonframework.test.fixture.AxonTestThenMessage,org.axonframework.test.fixture.CommandValidator,org.axonframework.test.util.DescriptionUtils,org.axonframework.test.matchers.PredicateMatcher,org.axonframework.test.matchers.SequenceMatcher,org.axonframework.test.matchers.ListMatcher",""
"axon-update-5.0.1",0,5,23,1,3,3,3,3,0,60,60,60,60,0,7,7,7,7,0,30.43478260869565,30.43478260869565,30.43478260869565,30.43478260869565,0,"org.slf4j","org.axonframework.update,org.axonframework.update.detection,org.axonframework.update.configuration","org.axonframework.update.UpdateCheckerHttpClient,org.axonframework.update.UpdateChecker,org.axonframework.update.LoggingUpdateCheckerReporter,org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.update.detection.AxonVersionDetector,org.axonframework.update.detection.MachineId,org.axonframework.update.configuration.PropertyFileUsagePropertyProvider",""
"axon-eventsourcing-5.0.1",0,7,100,5,1,2,1,1.2,0.4472135954999579,14.285714285714286,28.571428571428573,14.285714285714286,17.142857142857146,6.3887656499994,1,6,1,2.6,2.3021728866442674,1,6,1,2.6,2.3021728866442674,"org.slf4j,WrappedEventCriteriaBuilderMethod,ScannedEntityCreator,IdTypeParameterResolver,jakarta.persistence","org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$1,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine",""
"axon-metrics-micrometer-5.0.1",0,2,13,3,1,2,1,1.3333333333333333,0.5773502691896257,50,100,50,66.66666666666667,28.867513459481287,1,12,1,4.666666666666667,6.3508529610858835,7.6923076923076925,92.3076923076923,7.6923076923076925,35.8974358974359,48.852715085276024,"io.micrometer.core.instrument,io.micrometer.core.instrument.simple,org.slf4j","org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.reservoir","org.axonframework.extension.metrics.micrometer.CapacityMonitor$1,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor$Builder,org.axonframework.extension.metrics.micrometer.GlobalMetricRegistry,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.CapacityMonitor,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder",""
