"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityWeaklyConnectedComponentId",0,45,"react-router-7.18.3/dom-export,react-router-7.18.3/react-router,react-router-7.18.3/actions,react-router-7.18.3/context,react-router-7.18.3/errors,react-router-7.18.3/href,react-router-7.18.3/dom,react-router-7.18.3/entry,react-router-7.18.3/fog-of-war,react-router-7.18.3/links,react-router-7.18.3/markup,react-router-7.18.3/routeModules,react-router-7.18.3/history,react-router-7.18.3/instrumentation,react-router-7.18.3/navigation,react-router-7.18.3/router,react-router-7.18.3/url,react-router-7.18.3/utils,react-router-7.18.3/server,react-router-7.18.3/browser,react-router-7.18.3/build,react-router-7.18.3/cookies,react-router-7.18.3/crypto,react-router-7.18.3/data,react-router-7.18.3/dev,react-router-7.18.3/headers,react-router-7.18.3/mode,react-router-7.18.3/routeMatching,react-router-7.18.3/routes,react-router-7.18.3/serverHandoff,react-router-7.18.3/sessions,react-router-7.18.3/single-fetch,react-router-7.18.3/urls,react-router-7.18.3/warnings,react-router-7.18.3/cookieStorage,react-router-7.18.3/memoryStorage,react-router-7.18.3/future,react-router-7.18.3/register,react-router-7.18.3/route-data,react-router-7.18.3/route-module-annotations,react-router-7.18.3/route-module,react-router-7.18.3/serializes-to,react-router-7.18.3/flatten,react-router-7.18.3/turbo-stream,react-router-7.18.3/unflatten","dom-export,react-router,actions,context,errors,href,dom,entry,fog-of-war,links,markup,routeModules,history,instrumentation,navigation,router,url,utils,server,browser,build,cookies,crypto,data,dev,headers,mode,routeMatching,routes,serverHandoff,sessions,single-fetch,urls,warnings,cookieStorage,memoryStorage,future,register,route-data,route-module-annotations,route-module,serializes-to,flatten,turbo-stream,unflatten",""
"communityWeaklyConnectedComponentId",1,1,"react-router-7.18.3/tsup","tsup",""
"communityWeaklyConnectedComponentId",2,1,"react-router-7.18.3/tsup","tsup",""
"communityWeaklyConnectedComponentId",3,3,"react-router-7.18.3/defineRoutes,react-router-7.18.3/manifest,react-router-7.18.3/normalizeSlashes","defineRoutes,manifest,normalizeSlashes",""
"communityWeaklyConnectedComponentId",4,1,"react-router-7.18.3/cli","cli",""
"communityWeaklyConnectedComponentId",5,2,"react-router-7.18.3/react-router-express,react-router-7.18.3/server","react-router-express,server",""
"communityWeaklyConnectedComponentId",6,4,"react-router-7.18.3/flatRoutes,react-router-7.18.3/react-router-fs-routes,react-router-7.18.3/manifest,react-router-7.18.3/normalizeSlashes","flatRoutes,react-router-fs-routes,manifest,normalizeSlashes",""
"communityWeaklyConnectedComponentId",7,1,"react-router-7.18.3/cli","cli",""
"communityWeaklyConnectedComponentId",8,10,"react-router-7.18.3/copy-template,react-router-7.18.3/create-react-router,react-router-7.18.3/loading-indicator,react-router-7.18.3/prompt,react-router-7.18.3/prompts-confirm,react-router-7.18.3/prompts-multi-select,react-router-7.18.3/prompts-prompt-base,react-router-7.18.3/prompts-select,react-router-7.18.3/prompts-text,react-router-7.18.3/utils","copy-template,create-react-router,loading-indicator,prompt,prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select,prompts-text,utils",""
"communityWeaklyConnectedComponentId",9,42,"react-router-7.18.3/config,react-router-7.18.3/manifest,react-router-7.18.3/routes,react-router-7.18.3/commands,react-router-7.18.3/detectPackageManager,react-router-7.18.3/run,react-router-7.18.3/useJavascript,react-router-7.18.3/format,react-router-7.18.3/is-react-router-repo,react-router-7.18.3/context,react-router-7.18.3/generate,react-router-7.18.3/typegen,react-router-7.18.3/params,react-router-7.18.3/route,react-router-7.18.3/babel,react-router-7.18.3/build,react-router-7.18.3/cache,react-router-7.18.3/cloudflare-dev-proxy,react-router-7.18.3/combine-urls,react-router-7.18.3/dev,react-router-7.18.3/has-dependency,react-router-7.18.3/has-rsc-plugin,react-router-7.18.3/load-dotenv,react-router-7.18.3/node-adapter,react-router-7.18.3/optimize-deps-entries,react-router-7.18.3/plugin,react-router-7.18.3/profiler,react-router-7.18.3/remove-exports,react-router-7.18.3/resolve-file-url,react-router-7.18.3/resolve-relative-route-file-path,react-router-7.18.3/route-chunks,react-router-7.18.3/ssr-externals,react-router-7.18.3/styles,react-router-7.18.3/virtual-module,react-router-7.18.3/vite-node,react-router-7.18.3/vite,react-router-7.18.3/with-props,react-router-7.18.3/prerender,react-router-7.18.3/validate-plugin-order,react-router-7.18.3/warn-on-client-source-maps,react-router-7.18.3/virtual-route-config,react-router-7.18.3/virtual-route-modules","config,manifest,routes,commands,detectPackageManager,run,useJavascript,format,is-react-router-repo,context,generate,typegen,params,route,babel,build,cache,cloudflare-dev-proxy,combine-urls,dev,has-dependency,has-rsc-plugin,load-dotenv,node-adapter,optimize-deps-entries,plugin,profiler,remove-exports,resolve-file-url,resolve-relative-route-file-path,route-chunks,ssr-externals,styles,virtual-module,vite-node,vite,with-props,prerender,validate-plugin-order,warn-on-client-source-maps,virtual-route-config,virtual-route-modules",""
