"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.util","util","axon-messaging-4.11.2",158.83333333333334,11,5,6,""
"org.axonframework.axonserver.connector.event.util","util","axon-server-connector-4.11.2",80,9,6,3,""
"org.axonframework.actuator.axonserver","axonserver","axon-spring-boot-autoconfigure-4.11.2",2,5,2,3,""
"org.axonframework.common.digest","digest","axon-messaging-4.11.2",1.3333333333333333,3,2,1,""
"org.axonframework.springboot.util.legacyjpa","legacyjpa","axon-spring-boot-autoconfigure-4.11.2",0.5,2,1,1,""
"org.axonframework.actuator","actuator","axon-spring-boot-autoconfigure-4.11.2",0,2,2,0,""
"org.axonframework.springboot.util.jpa","jpa","axon-spring-boot-autoconfigure-4.11.2",0,2,1,1,""
"org.axonframework.axonserver.connector.heartbeat.source","source","axon-server-connector-4.11.2",0,2,0,2,""
"org.axonframework.test.server","server","axon-test-4.11.2",0,5,3,2,""
"org.axonframework.axonserver.connector.heartbeat.connection.checker","checker","axon-server-connector-4.11.2",0,6,1,5,""
"org.axonframework.serialization.converters","converters","axon-messaging-4.11.2",0,7,0,7,""
"org.axonframework.common.io","io","axon-messaging-4.11.2",0,10,10,0,""
