"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
1,11,"org.axonframework.messaging.core.unitofwork.annotation,org.axonframework.messaging.tracing.attributes,org.axonframework.update.api,org.axonframework.update.detection,org.axonframework.update.common,org.axonframework.update.configuration,io.axoniq.framework.axonserver.connector.api.command,io.axoniq.framework.axonserver.connector.api.query,org.axonframework.extension.tracing.opentelemetry",""
0.93,2,"org.axonframework.messaging.eventhandling.processing.errorhandling,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory",""
0.9,2,"org.axonframework.messaging.eventhandling.tracing,org.axonframework.messaging.core.correlation",""
0.86,1,"org.axonframework.modelling.entity.child",""
0.83,3,"org.axonframework.messaging.queryhandling.tracing,org.axonframework.conversion.avro,org.axonframework.test.extension",""
0.81,2,"org.axonframework.messaging.eventhandling.interception,org.axonframework.messaging.core.interception.annotation",""
0.8,3,"org.axonframework.messaging.commandhandling.retry,org.axonframework.messaging.eventhandling.processing.streaming,org.axonframework.messaging.core.retry",""
0.76,2,"org.axonframework.messaging.eventhandling.replay,org.axonframework.messaging.core.timeout",""
0.75,1,"org.axonframework.messaging.eventhandling.gateway",""
0.73,3,"org.axonframework.messaging.commandhandling.tracing,org.axonframework.messaging.queryhandling.gateway,org.axonframework.test.matchers",""
0.72,2,"org.axonframework.messaging.commandhandling.gateway,org.axonframework.messaging.eventhandling.processing.streaming.token.store",""
0.71,5,"org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.commandhandling.configuration,org.axonframework.messaging.eventhandling.replay.annotation,org.axonframework.messaging.monitoring.interception,org.axonframework.test.util",""
0.67,8,"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation,org.axonframework.messaging.core.interception,org.axonframework.messaging.core.reflection,org.axonframework.messaging.queryhandling.interception,org.axonframework.messaging.queryhandling.configuration,org.axonframework.conversion.jackson2,org.axonframework.common.property,org.axonframework.eventsourcing.snapshot.inmemory",""
0.65,4,"org.axonframework.messaging.eventhandling.processing.subscribing,org.axonframework.messaging.monitoring.configuration,org.axonframework.eventsourcing,org.axonframework.modelling.repository",""
0.64,1,"org.axonframework.eventsourcing.eventstore.inmemory",""
0.63,1,"org.axonframework.modelling.entity",""
0.62,1,"org.axonframework.eventsourcing.annotation.reflection",""
0.61,1,"org.axonframework.messaging.eventhandling.processing",""
0.6,5,"io.axoniq.framework.axonserver.connector.snapshot,org.axonframework.common.function,org.axonframework.common.jpa,org.axonframework.test,org.axonframework.modelling.configuration",""
0.58,3,"org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.queryhandling.annotation,org.axonframework.eventsourcing.annotation",""
0.57,4,"org.axonframework.messaging.core.configuration.reflection,org.axonframework.common.jdbc,org.axonframework.eventsourcing.snapshot.api,org.axonframework.eventsourcing.handler",""
0.56,3,"org.axonframework.messaging.eventhandling.configuration,org.axonframework.eventsourcing.snapshot.store,org.axonframework.modelling.annotation",""
0.54,2,"org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.eventstreaming",""
0.53,6,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.eventhandling.annotation,org.axonframework.messaging.core.sequencing,org.axonframework.messaging.monitoring,org.axonframework.modelling,org.axonframework.modelling.entity.annotation",""
0.5,3,"org.axonframework.messaging.core.unitofwork.transaction,org.axonframework.conversion.jackson,org.axonframework.common.lifecycle",""
0.49,2,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.common.tx",""
0.47,1,"org.axonframework.messaging.tracing",""
0.46,1,"org.axonframework.test.fixture",""
0.45,1,"io.axoniq.framework.axonserver.connector.event",""
0.44,1,"io.axoniq.framework.axonserver.connector.query",""
0.43,1,"org.axonframework.eventsourcing.eventstore",""
0.42,4,"org.axonframework.messaging.eventhandling.conversion,org.axonframework.messaging.eventhandling.processing.streaming.pooled,io.axoniq.framework.axonserver.connector.shared,org.axonframework.extension.metrics.micrometer",""
0.41,1,"io.axoniq.framework.axonserver.connector.command",""
0.39,5,"org.axonframework.messaging.core.unitofwork.transaction.jdbc,org.axonframework.messaging.core.unitofwork.transaction.jpa,org.axonframework.messaging.core.conversion,org.axonframework.messaging.queryhandling,org.axonframework.eventsourcing.eventstore.jpa",""
0.38,2,"org.axonframework.update,org.axonframework.eventsourcing.configuration",""
0.36,3,"org.axonframework.messaging.eventhandling.processing.streaming.token,io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.configuration",""
0.33,2,"io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.springboot.actuator.axonserver",""
0.29,1,"org.axonframework.messaging.core.annotation",""
0.28,2,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.core.configuration",""
0.27,1,"org.axonframework.messaging.eventhandling",""
0.26,2,"org.axonframework.conversion,org.axonframework.common.configuration",""
0.17,1,"org.axonframework.common.util",""
0.16,4,"org.axonframework.messaging.core.unitofwork,org.axonframework.common.infra,org.axonframework.common.annotation,io.axoniq.framework.springboot.autoconfig",""
0.15,1,"org.axonframework.messaging.core",""
0.14,1,"org.axonframework.common",""
0,8,"org.axonframework.conversion.converter,org.axonframework.common.digest,org.axonframework.common.io,org.axonframework.common.caching,org.axonframework.common.lock,org.axonframework.extension.metrics.micrometer.reservoir,io.axoniq.framework.springboot.actuator,io.axoniq.framework.springboot.service.connection",""
