"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityLabelPropagationId",0,39,"react-router-7.18.4/dom-export,react-router-7.18.4/react-router,react-router-7.18.4/actions,react-router-7.18.4/context,react-router-7.18.4/errors,react-router-7.18.4/dom,react-router-7.18.4/entry,react-router-7.18.4/fog-of-war,react-router-7.18.4/links,react-router-7.18.4/markup,react-router-7.18.4/routeModules,react-router-7.18.4/history,react-router-7.18.4/instrumentation,react-router-7.18.4/navigation,react-router-7.18.4/router,react-router-7.18.4/url,react-router-7.18.4/utils,react-router-7.18.4/server,react-router-7.18.4/browser,react-router-7.18.4/build,react-router-7.18.4/cookies,react-router-7.18.4/crypto,react-router-7.18.4/data,react-router-7.18.4/dev,react-router-7.18.4/headers,react-router-7.18.4/mode,react-router-7.18.4/routeMatching,react-router-7.18.4/routes,react-router-7.18.4/serverHandoff,react-router-7.18.4/sessions,react-router-7.18.4/single-fetch,react-router-7.18.4/urls,react-router-7.18.4/warnings,react-router-7.18.4/cookieStorage,react-router-7.18.4/memoryStorage,react-router-7.18.4/future,react-router-7.18.4/route-data,react-router-7.18.4/route-module-annotations,react-router-7.18.4/serializes-to","dom-export,react-router,actions,context,errors,dom,entry,fog-of-war,links,markup,routeModules,history,instrumentation,navigation,router,url,utils,server,browser,build,cookies,crypto,data,dev,headers,mode,routeMatching,routes,serverHandoff,sessions,single-fetch,urls,warnings,cookieStorage,memoryStorage,future,route-data,route-module-annotations,serializes-to",""
"communityLabelPropagationId",1,1,"react-router-7.18.4/tsup","tsup",""
"communityLabelPropagationId",2,1,"react-router-7.18.4/tsup","tsup",""
"communityLabelPropagationId",3,2,"react-router-7.18.4/href,react-router-7.18.4/register","href,register",""
"communityLabelPropagationId",4,2,"react-router-7.18.4/route-module,react-router-7.18.4/utils","route-module,utils",""
"communityLabelPropagationId",5,4,"react-router-7.18.4/flatten,react-router-7.18.4/turbo-stream,react-router-7.18.4/unflatten,react-router-7.18.4/utils","flatten,turbo-stream,unflatten,utils",""
"communityLabelPropagationId",6,3,"react-router-7.18.4/defineRoutes,react-router-7.18.4/manifest,react-router-7.18.4/normalizeSlashes","defineRoutes,manifest,normalizeSlashes",""
"communityLabelPropagationId",7,1,"react-router-7.18.4/cli","cli",""
"communityLabelPropagationId",8,2,"react-router-7.18.4/react-router-express,react-router-7.18.4/server","react-router-express,server",""
"communityLabelPropagationId",9,4,"react-router-7.18.4/flatRoutes,react-router-7.18.4/react-router-fs-routes,react-router-7.18.4/manifest,react-router-7.18.4/normalizeSlashes","flatRoutes,react-router-fs-routes,manifest,normalizeSlashes",""
"communityLabelPropagationId",10,1,"react-router-7.18.4/cli","cli",""
"communityLabelPropagationId",11,10,"react-router-7.18.4/copy-template,react-router-7.18.4/create-react-router,react-router-7.18.4/loading-indicator,react-router-7.18.4/prompt,react-router-7.18.4/prompts-confirm,react-router-7.18.4/prompts-multi-select,react-router-7.18.4/prompts-prompt-base,react-router-7.18.4/prompts-select,react-router-7.18.4/prompts-text,react-router-7.18.4/utils","copy-template,create-react-router,loading-indicator,prompt,prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select,prompts-text,utils",""
"communityLabelPropagationId",12,37,"react-router-7.18.4/config,react-router-7.18.4/manifest,react-router-7.18.4/routes,react-router-7.18.4/detectPackageManager,react-router-7.18.4/format,react-router-7.18.4/is-react-router-repo,react-router-7.18.4/context,react-router-7.18.4/generate,react-router-7.18.4/typegen,react-router-7.18.4/params,react-router-7.18.4/route,react-router-7.18.4/babel,react-router-7.18.4/build,react-router-7.18.4/cache,react-router-7.18.4/cloudflare-dev-proxy,react-router-7.18.4/combine-urls,react-router-7.18.4/has-dependency,react-router-7.18.4/has-rsc-plugin,react-router-7.18.4/load-dotenv,react-router-7.18.4/node-adapter,react-router-7.18.4/optimize-deps-entries,react-router-7.18.4/plugin,react-router-7.18.4/remove-exports,react-router-7.18.4/resolve-file-url,react-router-7.18.4/resolve-relative-route-file-path,react-router-7.18.4/route-chunks,react-router-7.18.4/ssr-externals,react-router-7.18.4/styles,react-router-7.18.4/virtual-module,react-router-7.18.4/vite-node,react-router-7.18.4/vite,react-router-7.18.4/with-props,react-router-7.18.4/prerender,react-router-7.18.4/validate-plugin-order,react-router-7.18.4/warn-on-client-source-maps,react-router-7.18.4/virtual-route-config,react-router-7.18.4/virtual-route-modules","config,manifest,routes,detectPackageManager,format,is-react-router-repo,context,generate,typegen,params,route,babel,build,cache,cloudflare-dev-proxy,combine-urls,has-dependency,has-rsc-plugin,load-dotenv,node-adapter,optimize-deps-entries,plugin,remove-exports,resolve-file-url,resolve-relative-route-file-path,route-chunks,ssr-externals,styles,virtual-module,vite-node,vite,with-props,prerender,validate-plugin-order,warn-on-client-source-maps,virtual-route-config,virtual-route-modules",""
"communityLabelPropagationId",13,5,"react-router-7.18.4/commands,react-router-7.18.4/run,react-router-7.18.4/useJavascript,react-router-7.18.4/dev,react-router-7.18.4/profiler","commands,run,useJavascript,dev,profiler",""
"communityLabelPropagationId",14,4,"react-router-7.18.4/binaryTypes,react-router-7.18.4/react-router-architect,react-router-7.18.4/server,react-router-7.18.4/arcTableSessionStorage","binaryTypes,react-router-architect,server,arcTableSessionStorage",""
"communityLabelPropagationId",15,3,"react-router-7.18.4/react-router-cloudflare,react-router-7.18.4/worker,react-router-7.18.4/workersKVStorage","react-router-cloudflare,worker,workersKVStorage",""
"communityLabelPropagationId",16,1,"react-router-7.18.4/server","server",""
"communityLabelPropagationId",17,1,"react-router-7.18.4/stream","stream",""
"communityLabelPropagationId",18,1,"react-router-7.18.4/fileStorage","fileStorage",""
