"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"axon-spring-boot-autoconfigure-5.0.3","axon-spring-boot-autoconfigure-5.0.3","centralityCostEffectiveLazyForward",2.08,""
"axon-server-connector-5.0.3","axon-server-connector-5.0.3","centralityCostEffectiveLazyForward",1.1400000000000001,""
"axon-tracing-opentelemetry-5.0.3","axon-tracing-opentelemetry-5.0.3","centralityCostEffectiveLazyForward",1,""
"axon-metrics-micrometer-5.0.3","axon-metrics-micrometer-5.0.3","centralityCostEffectiveLazyForward",0.9999999999999996,""
"axon-conversion-5.0.3","axon-conversion-5.0.3","centralityCostEffectiveLazyForward",0.9199999999999999,""
"axon-common-5.0.3","axon-common-5.0.3","centralityCostEffectiveLazyForward",0,""
"axon-eventsourcing-5.0.3","axon-eventsourcing-5.0.3","centralityCostEffectiveLazyForward",0,""
"axon-messaging-5.0.3","axon-messaging-5.0.3","centralityCostEffectiveLazyForward",0,""
"axon-modelling-5.0.3","axon-modelling-5.0.3","centralityCostEffectiveLazyForward",0,""
"axon-test-5.0.3","axon-test-5.0.3","centralityCostEffectiveLazyForward",0,""
"axon-update-5.0.3","axon-update-5.0.3","centralityCostEffectiveLazyForward",0,""
