"artifactName","fullQualifiedPackageName","packageName","publicTypes","allTypes","relativeVisibility","Source Cypher File: domains/internal-dependencies/queries/visibility/Relative_visibility_public_types_to_all_types_per_package.cypher"
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation","annotation",18,18,1,""
"axon-modelling-5.0.3","org.axonframework.modelling","modelling",16,16,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","configuration",14,14,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","child",14,14,1,""
"axon-common-5.0.3","org.axonframework.common.jdbc","jdbc",12,12,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing","sequencing",11,11,1,""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","avro",10,10,1,""
"axon-common-5.0.3","org.axonframework.common.property","property",9,9,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",9,9,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.tracing","tracing",7,7,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.tracing","tracing",7,7,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.util","util",7,7,1,""
"axon-update-5.0.3","org.axonframework.update.configuration","configuration",7,7,1,""
"axon-common-5.0.3","org.axonframework.common.util","util",6,6,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.tracing.attributes","attributes",6,6,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.correlation","correlation",6,6,1,""
"axon-update-5.0.3","org.axonframework.update.api","api",6,6,1,""
"axon-common-5.0.3","org.axonframework.common.lifecycle","lifecycle",5,5,1,""
"axon-conversion-5.0.3","org.axonframework.conversion.converter","converter",5,5,1,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson","jackson",5,5,1,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson2","jackson2",5,5,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.interception","interception",5,5,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",5,5,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",5,5,1,""
"axon-tracing-opentelemetry-5.0.3","org.axonframework.extension.tracing.opentelemetry","opentelemetry",5,5,1,""
"axon-update-5.0.3","org.axonframework.update","update",5,5,1,""
"axon-common-5.0.3","org.axonframework.common.jpa","jpa",4,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",4,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay","replay",4,4,1,""
"axon-update-5.0.3","org.axonframework.update.detection","detection",4,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",3,3,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing","processing",3,3,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration.reflection","reflection",3,3,1,""
"axon-common-5.0.3","org.axonframework.common.function","function",2,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration","configuration",2,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.conversion","conversion",2,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.conversion","conversion",2,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.gateway","gateway",2,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.reflection","reflection",2,2,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.actuator.axonserver","axonserver",2,2,1,""
"axon-test-5.0.3","org.axonframework.test.server","server",2,2,1,""
"axon-common-5.0.3","org.axonframework.common.digest","digest",1,1,1,""
"axon-common-5.0.3","org.axonframework.common.io","io",1,1,1,""
"axon-common-5.0.3","org.axonframework.common.tx","tx",1,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.retry","retry",1,1,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming","streaming",1,1,1,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",1,1,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.actuator","actuator",1,1,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.util.jpa","jpa",1,1,1,""
"axon-update-5.0.3","org.axonframework.update.common","common",1,1,1,""
"axon-test-5.0.3","org.axonframework.test.matchers","matchers",22,23,0.9565217391304348,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling","commandhandling",18,19,0.9473684210526315,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot","springboot",18,19,0.9473684210526315,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling","queryhandling",22,24,0.9166666666666666,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",11,12,0.9166666666666666,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation","annotation",9,10,0.9,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation","annotation",9,10,0.9,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","connector",25,28,0.8928571428571429,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.gateway","gateway",7,8,0.875,""
"axon-modelling-5.0.3","org.axonframework.modelling.repository","repository",7,8,0.875,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","annotation",44,51,0.8627450980392157,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.annotation","annotation",6,7,0.8571428571428571,""
"axon-messaging-5.0.3","org.axonframework.messaging.tracing","tracing",11,13,0.8461538461538461,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity","entity",11,13,0.8461538461538461,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","util",11,13,0.8461538461538461,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling","eventhandling",16,19,0.8421052631578947,""
"axon-test-5.0.3","org.axonframework.test.util","util",10,12,0.8333333333333334,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring","monitoring",5,6,0.8333333333333334,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","command",5,6,0.8333333333333334,""
"axon-common-5.0.3","org.axonframework.common","common",28,34,0.8235294117647058,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","unitofwork",12,15,0.8,""
"axon-common-5.0.3","org.axonframework.common.lock","lock",8,10,0.8,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.distributed","distributed",8,10,0.8,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway","gateway",4,5,0.8,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.tracing","tracing",4,5,0.8,""
